DATE,TIMESTAMP,RECORD.x,BattV_Avg,BattV,BP_mmHg_Avg,BP_mmHg_Std,BP_mmHg,Rain_mm_Tot,AirTC_Avg,AirTC_Std,AirTC,RH,RH_Min,RH_TMn,RH_Max,RH_TMx,RECORD.y,BattV_Min,SlrkW_Avg,SlrkW_Std,SlrkW,SlrMJ_Tot,WS_ms_Avg,WS_ms_Std,WS_ms,WindDir,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT
2019-08-28,2019-08-28 09:45:00,110918,13.12941,13.15736,750.5758,0.06905385,750.5776,0,23.86733,0.1402834,24.202,87.242,85.957,2019-08-28 09:34:30,88.808,2019-08-28 09:31:30,110918,13.05243,0.1960878,0.00865139,0.2215355,0.1764791,0.1465645,0.1783248,0,186.477,0.1465645,238.0295,20.85427
2019-08-28,2019-08-28 10:00:00,110919,13.14701,13.11203,750.5756,0.04271561,750.5547,0,24.32247,0.06120539,24.394,84.542,83.207,2019-08-28 09:58:00,88.277,2019-08-28 09:46:30,110919,13.10952,0.302081,0.0360257,0.3098292,0.2718729,0.2374867,0.234461,0,41.09377,0.2374867,208.0413,29.59628
2019-08-28,2019-08-28 10:15:00,110920,13.11525,13.08433,750.5365,0.06531937,750.4792,0,24.88353,0.2592573,25.175,82.086,80.451,2019-08-28 10:13:00,85.617,2019-08-28 10:02:30,110920,13.08014,0.3438189,0.02668216,0.3348598,0.3094371,0.2414066,0.2409571,0,241.9702,0.2414066,278.6771,61.13609
2019-08-28,2019-08-28 10:30:00,110921,13.07255,13.06419,750.606,0.05380545,750.6533,0,24.896,0.2383755,25.286,81.252,79.48,2019-08-28 10:17:30,84.64,2019-08-28 10:25:30,110921,13.04656,0.4249011,0.1109635,0.6084405,0.382411,0.7988088,0.2301099,1.1172,150.1772,0.7988088,157.3184,36.26407
2019-08-28,2019-08-28 10:45:00,110922,13.03167,13.02641,750.6126,0.04955053,750.5983,0,25.823,0.2808569,25.376,80.296,75.926,2019-08-28 10:40:30,83.125,2019-08-28 10:31:30,110922,12.99283,0.4790449,0.09587733,0.3577535,0.4311404,0.8285355,0.3451363,1.0682,250.3792,0.8285355,192.1298,58.40711
2019-08-28,2019-08-28 11:00:00,110923,13.0108,12.98108,750.566,0.07854497,750.5273,0,25.55364,0.2970962,26.038,78.535,77.848,2019-08-28 10:57:30,82.684,2019-08-28 10:50:30,110923,12.98108,0.3857017,0.02941658,0.4223903,0.3471316,0.6263288,0.3917917,0.7480667,220.5509,0.6263288,206.3802,37.07105
2019-08-28,2019-08-28 11:15:00,110924,12.98685,13.00123,750.514,0.05667933,750.454,0,25.75344,0.1680593,25.416,79.934,76.142,2019-08-28 11:13:00,80.896,2019-08-28 11:07:30,110924,12.97185,0.3908911,0.01995228,0.4313953,0.351802,0.7885732,0.3749801,1.074733,153.8009,0.7885732,198.7249,26.9009
2019-08-28,2019-08-28 11:30:00,110925,12.98763,12.99871,750.4805,0.05343803,750.4655,0,25.88737,0.2263269,25.788,78.396,75.945,2019-08-28 11:26:00,81.226,2019-08-28 11:19:00,110925,12.96597,0.4814106,0.02905094,0.4638281,0.4332696,1.009509,0.4185418,0.7480667,194.8232,1.009509,166.8539,31.27056
2019-08-28,2019-08-28 11:45:00,110926,12.98411,12.98864,750.3813,0.06511843,750.3052,0,26.11243,0.1518722,26.517,78.98,75.476,2019-08-28 11:34:00,80.16,2019-08-28 11:31:30,110926,12.96765,0.5061104,0.09157024,0.4611572,0.4554993,0.9675865,0.383438,1.398133,229.2851,0.9675865,201.7682,37.41169
2019-08-28,2019-08-28 12:00:00,110927,12.96046,12.924,750.2743,0.0520004,750.2571,0,26.72023,0.2542985,26.378,75.132,71.598,2019-08-28 11:58:30,77.941,2019-08-28 11:50:30,110927,12.9198,0.7470674,0.2220264,0.9442161,0.6723607,1.247105,0.5445758,1.5974,108.7237,1.247105,188.073,36.70542
