"Plot Title: Stream_B"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 20781167, SEN S/N: 20781167)","Temp, °C (LGR S/N: 20781167, SEN S/N: 20781167)"
1,20-03-06 11:40:00 AM,8.44,23.46
2,20-03-06 11:45:00 AM,8.38,23.68
3,20-03-06 11:50:00 AM,8.39,23.66
4,20-03-06 11:55:00 AM,8.41,23.58
5,20-03-06 12:00:00 PM,8.45,23.50
6,20-03-06 12:05:00 PM,8.46,23.42
7,20-03-06 12:10:00 PM,8.52,23.20
8,20-03-06 12:15:00 PM,8.55,22.96
9,20-03-06 12:20:00 PM,8.56,22.84
10,20-03-06 12:25:00 PM,8.58,22.74
11,20-03-06 12:30:00 PM,8.59,22.68
12,20-03-06 12:35:00 PM,8.59,22.62
13,20-03-06 12:40:00 PM,8.61,22.58
14,20-03-06 12:45:00 PM,8.60,22.52
15,20-03-06 12:50:00 PM,8.61,22.48
16,20-03-06 12:55:00 PM,8.61,22.44
17,20-03-06 01:00:00 PM,8.72,22.14
18,20-03-06 01:05:00 PM,8.95,21.16
19,20-03-06 01:10:00 PM,9.16,20.00
20,20-03-06 01:15:00 PM,9.36,18.88
21,20-03-06 01:20:00 PM,9.54,17.94
22,20-03-06 01:25:00 PM,9.70,17.10
23,20-03-06 01:30:00 PM,9.81,16.38
24,20-03-06 01:35:00 PM,9.95,15.68
25,20-03-06 01:40:00 PM,10.06,15.16
26,20-03-06 01:45:00 PM,10.15,14.72
27,20-03-06 01:50:00 PM,10.19,14.40
28,20-03-06 01:55:00 PM,10.24,14.18
29,20-03-06 02:00:00 PM,10.28,14.02
30,20-03-06 02:05:00 PM,10.28,13.98
31,20-03-06 02:10:00 PM,10.29,13.96
32,20-03-06 02:15:00 PM,10.29,13.98
33,20-03-06 02:20:00 PM,10.29,14.02
34,20-03-06 02:25:00 PM,10.29,14.06
35,20-03-06 02:30:00 PM,10.27,14.12
36,20-03-06 02:35:00 PM,10.75,12.96
37,20-03-06 02:40:00 PM,11.26,11.54
38,20-03-06 02:45:00 PM,11.52,10.88
39,20-03-06 02:50:00 PM,11.60,10.58
40,20-03-06 02:55:00 PM,11.67,10.44
41,20-03-06 03:00:00 PM,11.71,10.34
42,20-03-06 03:05:00 PM,11.73,10.30
43,20-03-06 03:10:00 PM,11.77,10.26
44,20-03-06 03:15:00 PM,11.77,10.24
45,20-03-06 03:20:00 PM,11.80,10.22
46,20-03-06 03:25:00 PM,11.78,10.22
47,20-03-06 03:30:00 PM,11.77,10.20
48,20-03-06 03:35:00 PM,11.79,10.20
49,20-03-06 03:40:00 PM,11.78,10.20
50,20-03-06 03:45:00 PM,11.76,10.20
51,20-03-06 03:50:00 PM,11.76,10.18
52,20-03-06 03:55:00 PM,11.72,10.16
53,20-03-06 04:00:00 PM,11.72,10.16
54,20-03-06 04:05:00 PM,11.70,10.12
55,20-03-06 04:10:00 PM,11.67,10.10
56,20-03-06 04:15:00 PM,11.66,10.06
57,20-03-06 04:20:00 PM,11.66,10.04
58,20-03-06 04:25:00 PM,11.65,10.02
59,20-03-06 04:30:00 PM,11.60,9.96
60,20-03-06 04:35:00 PM,11.59,9.92
61,20-03-06 04:40:00 PM,11.58,9.88
62,20-03-06 04:45:00 PM,11.54,9.82
63,20-03-06 04:50:00 PM,11.52,9.78
64,20-03-06 04:55:00 PM,11.47,9.74
65,20-03-06 05:00:00 PM,11.47,9.70
66,20-03-06 05:05:00 PM,11.45,9.66
67,20-03-06 05:10:00 PM,11.47,9.62
68,20-03-06 05:15:00 PM,11.45,9.58
69,20-03-06 05:20:00 PM,11.43,9.56
70,20-03-06 05:25:00 PM,11.43,9.54
71,20-03-06 05:30:00 PM,11.43,9.50
72,20-03-06 05:35:00 PM,11.40,9.46
73,20-03-06 05:40:00 PM,11.36,9.44
74,20-03-06 05:45:00 PM,11.36,9.42
75,20-03-06 05:50:00 PM,11.32,9.38
76,20-03-06 05:55:00 PM,11.34,9.36
77,20-03-06 06:00:00 PM,11.30,9.34
78,20-03-06 06:05:00 PM,11.26,9.30
79,20-03-06 06:10:00 PM,11.25,9.28
80,20-03-06 06:15:00 PM,11.22,9.24
81,20-03-06 06:20:00 PM,11.19,9.22
82,20-03-06 06:25:00 PM,11.17,9.18
83,20-03-06 06:30:00 PM,11.14,9.14
84,20-03-06 06:35:00 PM,11.12,9.10
85,20-03-06 06:40:00 PM,11.08,9.06
86,20-03-06 06:45:00 PM,11.06,9.02
87,20-03-06 06:50:00 PM,11.03,8.98
88,20-03-06 06:55:00 PM,11.00,8.92
89,20-03-06 07:00:00 PM,10.99,8.88
90,20-03-06 07:05:00 PM,10.98,8.84
91,20-03-06 07:10:00 PM,10.97,8.80
92,20-03-06 07:15:00 PM,11.00,8.76
93,20-03-06 07:20:00 PM,10.97,8.72
94,20-03-06 07:25:00 PM,10.97,8.70
95,20-03-06 07:30:00 PM,10.96,8.66
96,20-03-06 07:35:00 PM,10.96,8.64
97,20-03-06 07:40:00 PM,10.96,8.62
98,20-03-06 07:45:00 PM,10.94,8.58
99,20-03-06 07:50:00 PM,10.95,8.56
100,20-03-06 07:55:00 PM,10.95,8.54
101,20-03-06 08:00:00 PM,10.94,8.52
102,20-03-06 08:05:00 PM,10.92,8.50
103,20-03-06 08:10:00 PM,10.92,8.48
104,20-03-06 08:15:00 PM,10.94,8.46
105,20-03-06 08:20:00 PM,10.95,8.44
106,20-03-06 08:25:00 PM,10.96,8.40
107,20-03-06 08:30:00 PM,10.95,8.38
108,20-03-06 08:35:00 PM,10.95,8.36
109,20-03-06 08:40:00 PM,10.95,8.34
110,20-03-06 08:45:00 PM,10.95,8.32
111,20-03-06 08:50:00 PM,10.95,8.30
112,20-03-06 08:55:00 PM,10.96,8.26
113,20-03-06 09:00:00 PM,10.98,8.24
114,20-03-06 09:05:00 PM,10.97,8.22
115,20-03-06 09:10:00 PM,11.00,8.20
116,20-03-06 09:15:00 PM,10.97,8.18
117,20-03-06 09:20:00 PM,10.98,8.14
118,20-03-06 09:25:00 PM,11.00,8.12
119,20-03-06 09:30:00 PM,11.01,8.10
120,20-03-06 09:35:00 PM,11.00,8.08
121,20-03-06 09:40:00 PM,11.00,8.04
122,20-03-06 09:45:00 PM,11.01,8.02
123,20-03-06 09:50:00 PM,11.02,8.00
124,20-03-06 09:55:00 PM,11.02,8.00
125,20-03-06 10:00:00 PM,11.03,7.98
126,20-03-06 10:05:00 PM,11.04,7.96
127,20-03-06 10:10:00 PM,11.04,7.94
128,20-03-06 10:15:00 PM,11.06,7.94
129,20-03-06 10:20:00 PM,11.08,7.92
130,20-03-06 10:25:00 PM,11.08,7.90
131,20-03-06 10:30:00 PM,11.08,7.90
132,20-03-06 10:35:00 PM,11.08,7.88
133,20-03-06 10:40:00 PM,11.06,7.86
134,20-03-06 10:45:00 PM,11.07,7.84
135,20-03-06 10:50:00 PM,11.09,7.82
136,20-03-06 10:55:00 PM,11.08,7.80
137,20-03-06 11:00:00 PM,11.08,7.78
138,20-03-06 11:05:00 PM,11.11,7.76
139,20-03-06 11:10:00 PM,11.09,7.76
140,20-03-06 11:15:00 PM,11.11,7.74
141,20-03-06 11:20:00 PM,11.12,7.72
142,20-03-06 11:25:00 PM,11.12,7.70
143,20-03-06 11:30:00 PM,11.11,7.70
144,20-03-06 11:35:00 PM,11.12,7.68
145,20-03-06 11:40:00 PM,11.11,7.66
146,20-03-06 11:45:00 PM,11.13,7.66
147,20-03-06 11:50:00 PM,11.13,7.62
148,20-03-06 11:55:00 PM,11.13,7.60
149,20-03-07 12:00:00 AM,11.15,7.60
150,20-03-07 12:05:00 AM,11.17,7.58
151,20-03-07 12:10:00 AM,11.15,7.58
152,20-03-07 12:15:00 AM,11.17,7.56
153,20-03-07 12:20:00 AM,11.18,7.56
154,20-03-07 12:25:00 AM,11.18,7.54
155,20-03-07 12:30:00 AM,11.18,7.54
156,20-03-07 12:35:00 AM,11.18,7.52
157,20-03-07 12:40:00 AM,11.19,7.52
158,20-03-07 12:45:00 AM,11.19,7.52
159,20-03-07 12:50:00 AM,11.20,7.50
160,20-03-07 12:55:00 AM,11.20,7.50
161,20-03-07 01:00:00 AM,11.20,7.50
162,20-03-07 01:05:00 AM,11.20,7.48
163,20-03-07 01:10:00 AM,11.21,7.48
164,20-03-07 01:15:00 AM,11.23,7.48
165,20-03-07 01:20:00 AM,11.21,7.46
166,20-03-07 01:25:00 AM,11.21,7.46
167,20-03-07 01:30:00 AM,11.22,7.44
168,20-03-07 01:35:00 AM,11.21,7.44
169,20-03-07 01:40:00 AM,11.23,7.44
170,20-03-07 01:45:00 AM,11.23,7.42
171,20-03-07 01:50:00 AM,11.22,7.42
172,20-03-07 01:55:00 AM,11.24,7.40
173,20-03-07 02:00:00 AM,11.24,7.40
174,20-03-07 02:05:00 AM,11.25,7.38
175,20-03-07 02:10:00 AM,11.24,7.38
176,20-03-07 02:15:00 AM,11.24,7.38
177,20-03-07 02:20:00 AM,11.24,7.36
178,20-03-07 02:25:00 AM,11.25,7.36
179,20-03-07 02:30:00 AM,11.25,7.34
180,20-03-07 02:35:00 AM,11.25,7.32
181,20-03-07 02:40:00 AM,11.27,7.32
182,20-03-07 02:45:00 AM,11.26,7.30
183,20-03-07 02:50:00 AM,11.27,7.28
184,20-03-07 02:55:00 AM,11.29,7.26
185,20-03-07 03:00:00 AM,11.29,7.26
186,20-03-07 03:05:00 AM,11.27,7.24
187,20-03-07 03:10:00 AM,11.29,7.22
188,20-03-07 03:15:00 AM,11.29,7.20
189,20-03-07 03:20:00 AM,11.31,7.18
190,20-03-07 03:25:00 AM,11.30,7.16
191,20-03-07 03:30:00 AM,11.32,7.12
192,20-03-07 03:35:00 AM,11.31,7.10
193,20-03-07 03:40:00 AM,11.32,7.08
194,20-03-07 03:45:00 AM,11.32,7.06
195,20-03-07 03:50:00 AM,11.32,7.04
196,20-03-07 03:55:00 AM,11.34,7.02
197,20-03-07 04:00:00 AM,11.34,7.00
198,20-03-07 04:05:00 AM,11.34,6.98
199,20-03-07 04:10:00 AM,11.35,6.96
200,20-03-07 04:15:00 AM,11.36,6.94
201,20-03-07 04:20:00 AM,11.37,6.92
202,20-03-07 04:25:00 AM,11.38,6.90
203,20-03-07 04:30:00 AM,11.40,6.88
204,20-03-07 04:35:00 AM,11.40,6.88
205,20-03-07 04:40:00 AM,11.41,6.86
206,20-03-07 04:45:00 AM,11.41,6.84
207,20-03-07 04:50:00 AM,11.42,6.84
208,20-03-07 04:55:00 AM,11.43,6.82
209,20-03-07 05:00:00 AM,11.43,6.82
210,20-03-07 05:05:00 AM,11.42,6.80
211,20-03-07 05:10:00 AM,11.44,6.80
212,20-03-07 05:15:00 AM,11.43,6.80
213,20-03-07 05:20:00 AM,11.45,6.78
214,20-03-07 05:25:00 AM,11.45,6.78
215,20-03-07 05:30:00 AM,11.47,6.78
216,20-03-07 05:35:00 AM,11.44,6.78
217,20-03-07 05:40:00 AM,11.46,6.78
218,20-03-07 05:45:00 AM,11.46,6.76
219,20-03-07 05:50:00 AM,11.47,6.74
220,20-03-07 05:55:00 AM,11.47,6.72
221,20-03-07 06:00:00 AM,11.48,6.72
222,20-03-07 06:05:00 AM,11.48,6.70
223,20-03-07 06:10:00 AM,11.49,6.68
224,20-03-07 06:15:00 AM,11.48,6.66
225,20-03-07 06:20:00 AM,11.50,6.64
226,20-03-07 06:25:00 AM,11.50,6.64
227,20-03-07 06:30:00 AM,11.53,6.62
228,20-03-07 06:35:00 AM,11.53,6.60
229,20-03-07 06:40:00 AM,11.55,6.60
230,20-03-07 06:45:00 AM,11.55,6.58
231,20-03-07 06:50:00 AM,11.56,6.56
232,20-03-07 06:55:00 AM,11.58,6.56
233,20-03-07 07:00:00 AM,11.58,6.54
234,20-03-07 07:05:00 AM,11.60,6.54
235,20-03-07 07:10:00 AM,11.61,6.52
236,20-03-07 07:15:00 AM,11.65,6.50
237,20-03-07 07:20:00 AM,11.68,6.48
238,20-03-07 07:25:00 AM,11.70,6.46
239,20-03-07 07:30:00 AM,11.72,6.46
240,20-03-07 07:35:00 AM,11.75,6.44
241,20-03-07 07:40:00 AM,11.79,6.42
242,20-03-07 07:45:00 AM,11.82,6.42
243,20-03-07 07:50:00 AM,11.83,6.40
244,20-03-07 07:55:00 AM,11.89,6.40
245,20-03-07 08:00:00 AM,11.93,6.38
246,20-03-07 08:05:00 AM,11.96,6.38
247,20-03-07 08:10:00 AM,12.00,6.38
248,20-03-07 08:15:00 AM,12.03,6.38
249,20-03-07 08:20:00 AM,12.06,6.38
250,20-03-07 08:25:00 AM,12.12,6.38
251,20-03-07 08:30:00 AM,12.14,6.38
252,20-03-07 08:35:00 AM,12.15,6.38
253,20-03-07 08:40:00 AM,12.22,6.38
254,20-03-07 08:45:00 AM,12.25,6.40
255,20-03-07 08:50:00 AM,12.28,6.40
256,20-03-07 08:55:00 AM,12.32,6.42
257,20-03-07 09:00:00 AM,12.34,6.44
258,20-03-07 09:05:00 AM,12.39,6.46
259,20-03-07 09:10:00 AM,12.41,6.48
260,20-03-07 09:15:00 AM,12.45,6.50
261,20-03-07 09:20:00 AM,12.49,6.54
262,20-03-07 09:25:00 AM,12.51,6.58
263,20-03-07 09:30:00 AM,12.53,6.62
264,20-03-07 09:35:00 AM,12.53,6.66
265,20-03-07 09:40:00 AM,12.56,6.72
266,20-03-07 09:45:00 AM,12.60,6.78
267,20-03-07 09:50:00 AM,12.62,6.84
268,20-03-07 09:55:00 AM,12.62,6.92
269,20-03-07 10:00:00 AM,12.64,6.98
270,20-03-07 10:05:00 AM,12.66,7.06
271,20-03-07 10:10:00 AM,12.67,7.14
272,20-03-07 10:15:00 AM,12.67,7.22
273,20-03-07 10:20:00 AM,12.68,7.30
274,20-03-07 10:25:00 AM,12.68,7.38
275,20-03-07 10:30:00 AM,12.67,7.48
276,20-03-07 10:35:00 AM,12.66,7.56
277,20-03-07 10:40:00 AM,12.67,7.66
278,20-03-07 10:45:00 AM,12.66,7.76
279,20-03-07 10:50:00 AM,12.62,7.84
280,20-03-07 10:55:00 AM,12.63,7.94
281,20-03-07 11:00:00 AM,12.60,8.04
282,20-03-07 11:05:00 AM,12.60,8.14
283,20-03-07 11:10:00 AM,12.57,8.24
284,20-03-07 11:15:00 AM,12.57,8.36
285,20-03-07 11:20:00 AM,12.57,8.48
286,20-03-07 11:25:00 AM,12.52,8.62
287,20-03-07 11:30:00 AM,12.51,8.74
