"Plot Title: Stream_C"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 20781169, SEN S/N: 20781169)","Temp, °C (LGR S/N: 20781169, SEN S/N: 20781169)"
1,20-03-06 11:45:00 AM,8.52,22.90
2,20-03-06 11:50:00 AM,8.50,22.98
3,20-03-06 11:55:00 AM,8.49,22.98
4,20-03-06 12:00:00 PM,8.50,22.90
5,20-03-06 12:05:00 PM,8.51,22.86
6,20-03-06 12:10:00 PM,8.55,22.68
7,20-03-06 12:15:00 PM,8.57,22.46
8,20-03-06 12:20:00 PM,8.60,22.36
9,20-03-06 12:25:00 PM,8.60,22.30
10,20-03-06 12:30:00 PM,8.60,22.28
11,20-03-06 12:35:00 PM,8.61,22.28
12,20-03-06 12:40:00 PM,8.61,22.28
13,20-03-06 12:45:00 PM,8.59,22.26
14,20-03-06 12:50:00 PM,8.59,22.24
15,20-03-06 12:55:00 PM,8.59,22.22
16,20-03-06 01:00:00 PM,8.70,21.82
17,20-03-06 01:05:00 PM,8.99,20.64
18,20-03-06 01:10:00 PM,9.20,19.52
19,20-03-06 01:15:00 PM,9.36,18.52
20,20-03-06 01:20:00 PM,9.52,17.62
21,20-03-06 01:25:00 PM,9.67,16.80
22,20-03-06 01:30:00 PM,9.83,16.04
23,20-03-06 01:35:00 PM,9.97,15.34
24,20-03-06 01:40:00 PM,10.06,14.82
25,20-03-06 01:45:00 PM,10.16,14.40
26,20-03-06 01:50:00 PM,10.21,14.14
27,20-03-06 01:55:00 PM,10.24,13.98
28,20-03-06 02:00:00 PM,10.26,13.84
29,20-03-06 02:05:00 PM,10.30,13.82
30,20-03-06 02:10:00 PM,10.30,13.80
31,20-03-06 02:15:00 PM,10.29,13.82
32,20-03-06 02:20:00 PM,10.29,13.88
33,20-03-06 02:25:00 PM,10.29,13.92
34,20-03-06 02:30:00 PM,10.27,13.96
35,20-03-06 02:35:00 PM,10.26,14.00
36,20-03-06 02:40:00 PM,10.25,13.98
37,20-03-06 02:45:00 PM,10.26,13.90
38,20-03-06 02:50:00 PM,10.32,13.74
39,20-03-06 02:55:00 PM,10.35,13.62
40,20-03-06 03:00:00 PM,10.40,13.52
41,20-03-06 03:05:00 PM,10.41,13.44
42,20-03-06 03:10:00 PM,10.42,13.38
43,20-03-06 03:15:00 PM,10.45,13.26
44,20-03-06 03:20:00 PM,10.48,13.14
45,20-03-06 03:25:00 PM,9.98,12.82
46,20-03-06 03:30:00 PM,10.49,10.94
47,20-03-06 03:35:00 PM,10.75,10.28
48,20-03-06 03:40:00 PM,10.87,10.00
49,20-03-06 03:45:00 PM,10.93,9.86
50,20-03-06 03:50:00 PM,10.95,9.80
51,20-03-06 03:55:00 PM,10.98,9.76
52,20-03-06 04:00:00 PM,10.98,9.74
53,20-03-06 04:05:00 PM,10.97,9.74
54,20-03-06 04:10:00 PM,10.97,9.70
55,20-03-06 04:15:00 PM,10.99,9.68
56,20-03-06 04:20:00 PM,10.99,9.66
57,20-03-06 04:25:00 PM,10.98,9.62
58,20-03-06 04:30:00 PM,10.98,9.60
59,20-03-06 04:35:00 PM,11.00,9.56
60,20-03-06 04:40:00 PM,11.00,9.52
61,20-03-06 04:45:00 PM,11.00,9.48
62,20-03-06 04:50:00 PM,10.99,9.44
63,20-03-06 04:55:00 PM,11.00,9.40
64,20-03-06 05:00:00 PM,11.00,9.36
65,20-03-06 05:05:00 PM,11.01,9.30
66,20-03-06 05:10:00 PM,11.04,9.24
67,20-03-06 05:15:00 PM,11.04,9.22
68,20-03-06 05:20:00 PM,11.05,9.18
69,20-03-06 05:25:00 PM,11.06,9.16
