"Plot Title: Stream_C"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20781942, SEN S/N: 20781942)","Temp, °C (LGR S/N: 20781942, SEN S/N: 20781942)"
1,20-03-06 11:50:00 AM,13.0,22.61
2,20-03-06 11:55:00 AM,1.7,22.67
3,20-03-06 12:00:00 PM,1.7,22.70
4,20-03-06 12:05:00 PM,-1.2,22.71
5,20-03-06 12:10:00 PM,-1.2,22.19
6,20-03-06 12:15:00 PM,1.0,21.94
7,20-03-06 12:20:00 PM,1.7,21.87
8,20-03-06 12:25:00 PM,-1.2,21.88
9,20-03-06 12:30:00 PM,1.0,21.92
10,20-03-06 12:35:00 PM,13.0,21.97
11,20-03-06 12:40:00 PM,13.0,22.00
12,20-03-06 12:45:00 PM,1.0,21.98
13,20-03-06 12:50:00 PM,1.7,21.98
14,20-03-06 12:55:00 PM,-1.2,21.99
15,20-03-06 01:00:00 PM,-1.2,19.89
16,20-03-06 01:05:00 PM,-1.2,17.41
17,20-03-06 01:10:00 PM,-1.2,15.67
18,20-03-06 01:15:00 PM,1.0,15.06
19,20-03-06 01:20:00 PM,1.0,14.25
20,20-03-06 01:25:00 PM,1.0,13.77
21,20-03-06 01:30:00 PM,1.0,13.16
22,20-03-06 01:35:00 PM,1.0,12.88
23,20-03-06 01:40:00 PM,1.0,12.60
24,20-03-06 01:45:00 PM,1.0,12.58
25,20-03-06 01:50:00 PM,1.0,12.83
26,20-03-06 01:55:00 PM,1.0,12.99
27,20-03-06 02:00:00 PM,1.0,13.06
28,20-03-06 02:05:00 PM,1.0,13.20
29,20-03-06 02:10:00 PM,13.2,13.32
30,20-03-06 02:15:00 PM,-1.2,13.42
31,20-03-06 02:20:00 PM,1.0,13.56
32,20-03-06 02:25:00 PM,1.0,13.62
33,20-03-06 02:30:00 PM,13.2,13.68
34,20-03-06 02:35:00 PM,1.0,13.68
35,20-03-06 02:40:00 PM,1.0,13.57
36,20-03-06 02:45:00 PM,-1.2,13.35
37,20-03-06 02:50:00 PM,1.0,13.17
38,20-03-06 02:55:00 PM,1.0,13.07
39,20-03-06 03:00:00 PM,1.0,13.07
40,20-03-06 03:05:00 PM,-1.2,13.10
41,20-03-06 03:10:00 PM,-1.2,13.05
42,20-03-06 03:15:00 PM,-1.2,12.92
43,20-03-06 03:20:00 PM,1.0,12.77
44,20-03-06 03:25:00 PM,32.5,10.31
45,20-03-06 03:30:00 PM,31.8,9.63
46,20-03-06 03:35:00 PM,31.0,9.50
47,20-03-06 03:40:00 PM,30.7,9.49
48,20-03-06 03:45:00 PM,30.3,9.47
49,20-03-06 03:50:00 PM,30.3,9.49
50,20-03-06 03:55:00 PM,30.3,9.47
51,20-03-06 04:00:00 PM,31.0,9.50
52,20-03-06 04:05:00 PM,30.3,9.50
53,20-03-06 04:10:00 PM,30.7,9.47
54,20-03-06 04:15:00 PM,30.3,9.45
55,20-03-06 04:20:00 PM,30.3,9.42
56,20-03-06 04:25:00 PM,30.3,9.40
57,20-03-06 04:30:00 PM,30.7,9.38
58,20-03-06 04:35:00 PM,30.3,9.38
59,20-03-06 04:40:00 PM,30.3,9.31
60,20-03-06 04:45:00 PM,30.3,9.25
61,20-03-06 04:50:00 PM,30.7,9.22
62,20-03-06 04:55:00 PM,30.3,9.18
63,20-03-06 05:00:00 PM,30.7,9.13
64,20-03-06 05:05:00 PM,30.3,9.08
65,20-03-06 05:10:00 PM,30.3,9.04
66,20-03-06 05:15:00 PM,30.3,9.01
67,20-03-06 05:20:00 PM,30.3,9.00
68,20-03-06 05:25:00 PM,30.3,8.97
69,20-03-06 05:30:00 PM,30.3,8.95
70,20-03-06 05:35:00 PM,30.3,8.94
71,20-03-06 05:40:00 PM,30.3,8.93
72,20-03-06 05:45:00 PM,30.3,8.90
73,20-03-06 05:50:00 PM,30.3,8.89
74,20-03-06 05:55:00 PM,30.3,8.85
75,20-03-06 06:00:00 PM,30.3,8.80
76,20-03-06 06:05:00 PM,30.3,8.77
77,20-03-06 06:10:00 PM,30.3,8.74
78,20-03-06 06:15:00 PM,30.3,8.71
79,20-03-06 06:20:00 PM,30.3,8.67
80,20-03-06 06:25:00 PM,30.3,8.63
81,20-03-06 06:30:00 PM,30.3,8.58
82,20-03-06 06:35:00 PM,30.3,8.55
83,20-03-06 06:40:00 PM,30.3,8.50
84,20-03-06 06:45:00 PM,30.3,8.45
85,20-03-06 06:50:00 PM,30.0,8.39
86,20-03-06 06:55:00 PM,30.0,8.37
87,20-03-06 07:00:00 PM,30.0,8.32
88,20-03-06 07:05:00 PM,30.3,8.28
89,20-03-06 07:10:00 PM,30.0,8.26
90,20-03-06 07:15:00 PM,30.0,8.23
91,20-03-06 07:20:00 PM,30.0,8.21
92,20-03-06 07:25:00 PM,30.0,8.21
93,20-03-06 07:30:00 PM,30.3,8.18
94,20-03-06 07:35:00 PM,30.0,8.18
95,20-03-06 07:40:00 PM,30.0,8.15
96,20-03-06 07:45:00 PM,30.3,8.13
97,20-03-06 07:50:00 PM,30.0,8.12
98,20-03-06 07:55:00 PM,30.0,8.10
99,20-03-06 08:00:00 PM,30.0,8.09
100,20-03-06 08:05:00 PM,30.0,8.06
101,20-03-06 08:10:00 PM,30.0,8.05
102,20-03-06 08:15:00 PM,30.0,8.03
103,20-03-06 08:20:00 PM,30.0,8.01
104,20-03-06 08:25:00 PM,30.0,7.99
105,20-03-06 08:30:00 PM,29.6,7.99
106,20-03-06 08:35:00 PM,30.0,7.98
107,20-03-06 08:40:00 PM,29.6,7.95
108,20-03-06 08:45:00 PM,29.6,7.94
109,20-03-06 08:50:00 PM,29.6,7.92
110,20-03-06 08:55:00 PM,29.6,7.90
111,20-03-06 09:00:00 PM,30.0,7.88
112,20-03-06 09:05:00 PM,30.0,7.87
113,20-03-06 09:10:00 PM,29.6,7.84
114,20-03-06 09:15:00 PM,30.0,7.83
115,20-03-06 09:20:00 PM,30.0,7.81
116,20-03-06 09:25:00 PM,29.6,7.79
117,20-03-06 09:30:00 PM,29.6,7.77
118,20-03-06 09:35:00 PM,29.6,7.76
119,20-03-06 09:40:00 PM,30.0,7.75
120,20-03-06 09:45:00 PM,29.6,7.75
121,20-03-06 09:50:00 PM,30.0,7.75
