"Plot Title: 20781943"
"#","Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 20781943, SEN S/N: 20781943)","Full Range, μS/cm (LGR S/N: 20781943, SEN S/N: 20781943)","Temp, °C (LGR S/N: 20781943, SEN S/N: 20781943)"
1,20-03-09 08:45:00 AM,2.2,1.4,22.51
2,20-03-09 08:50:00 AM,2.2,-0.8,21.92
3,20-03-09 08:55:00 AM,2.2,1.4,21.45
4,20-03-09 09:00:00 AM,7.0,-0.8,20.69
5,20-03-09 09:05:00 AM,1.1,-0.8,20.19
6,20-03-09 09:10:00 AM,2.2,1.4,19.80
7,20-03-09 09:15:00 AM,2.2,1.4,19.43
8,20-03-09 09:20:00 AM,2.2,1.4,19.12
9,20-03-09 09:25:00 AM,2.2,1.4,18.86
10,20-03-09 09:30:00 AM,2.2,-0.8,18.62
11,20-03-09 09:35:00 AM,2.2,1.4,18.40
12,20-03-09 09:40:00 AM,2.2,1.4,18.21
13,20-03-09 09:45:00 AM,2.2,1.4,17.98
14,20-03-09 09:50:00 AM,2.2,1.4,18.20
15,20-03-09 09:55:00 AM,2.2,1.4,15.99
16,20-03-09 10:00:00 AM,10.2,7.3,8.34
17,20-03-09 10:05:00 AM,10.0,7.4,7.88
18,20-03-09 10:10:00 AM,10.1,7.4,7.87
19,20-03-09 10:15:00 AM,10.0,7.4,7.84
20,20-03-09 10:20:00 AM,10.1,7.4,7.85
21,20-03-09 10:25:00 AM,10.0,7.4,7.85
22,20-03-09 10:30:00 AM,10.0,7.4,7.86
23,20-03-09 10:35:00 AM,10.0,7.4,7.91
24,20-03-09 10:40:00 AM,10.0,7.4,7.93
25,20-03-09 10:45:00 AM,10.0,7.4,7.93
26,20-03-09 10:50:00 AM,10.1,7.4,7.93
27,20-03-09 10:55:00 AM,10.0,7.4,7.94
28,20-03-09 11:00:00 AM,10.0,7.4,7.95
29,20-03-09 11:05:00 AM,10.1,7.4,7.95
30,20-03-09 11:10:00 AM,10.0,7.4,7.99
31,20-03-09 11:15:00 AM,10.1,7.4,8.00
32,20-03-09 11:20:00 AM,10.1,7.4,8.00
33,20-03-09 11:25:00 AM,10.0,7.4,8.00
34,20-03-09 11:30:00 AM,10.1,7.4,8.03
35,20-03-09 11:35:00 AM,10.0,7.4,8.06
36,20-03-09 11:40:00 AM,10.1,7.4,8.05
37,20-03-09 11:45:00 AM,10.1,7.4,8.07
38,20-03-09 11:50:00 AM,10.1,7.4,8.11
39,20-03-09 11:55:00 AM,10.1,7.4,8.10
40,20-03-09 12:00:00 PM,10.1,7.3,8.14
41,20-03-09 12:05:00 PM,10.1,7.3,8.17
42,20-03-09 12:10:00 PM,10.1,7.3,8.19
43,20-03-09 12:15:00 PM,10.1,7.3,8.23
44,20-03-09 12:20:00 PM,10.1,7.3,8.17
45,20-03-09 12:25:00 PM,10.1,7.3,8.18
46,20-03-09 12:30:00 PM,10.1,7.3,8.22
47,20-03-09 12:35:00 PM,10.1,7.3,8.24
48,20-03-09 12:40:00 PM,10.2,7.3,8.28
49,20-03-09 12:45:00 PM,10.1,7.3,8.30
50,20-03-09 12:50:00 PM,10.2,7.3,8.35
51,20-03-09 12:55:00 PM,10.2,7.3,8.37
52,20-03-09 01:00:00 PM,10.2,7.3,8.39
53,20-03-09 01:05:00 PM,10.2,7.3,8.44
54,20-03-09 01:10:00 PM,10.2,7.7,8.45
55,20-03-09 01:15:00 PM,10.2,7.3,8.54
56,20-03-09 01:20:00 PM,10.2,7.3,8.50
57,20-03-09 01:25:00 PM,10.2,7.3,8.49
58,20-03-09 01:30:00 PM,10.2,7.3,8.54
59,20-03-09 01:35:00 PM,10.2,7.3,8.66
60,20-03-09 01:40:00 PM,10.2,7.7,8.63
61,20-03-09 01:45:00 PM,10.2,7.3,8.69
62,20-03-09 01:50:00 PM,10.2,7.7,8.69
