DATE,TIMESTAMP,RECORD.x,BattV_Avg,BattV,BP_mmHg_Avg,BP_mmHg_Std,BP_mmHg,Rain_mm_Tot,AirTC_Avg,AirTC_Std,AirTC,RH,RH_Min,RH_TMn,RH_Max,RH_TMx,RECORD.y,BattV_Min,SlrkW_Avg,SlrkW_Std,SlrkW,SlrMJ_Tot,WS_ms_Avg,WS_ms_Std,WS_ms,WindDir,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT
2019-07-15,2019-07-15 16:30:00,106721,12.87948,12.86692,754.6891,0.08602601,754.6279,0,33.5567,0.3972787,32.968,51.716,50.16,2019-07-15 16:19:00,58.919,2019-07-15 16:15:30,106721,12.86356,0.8310318,0.0149521,0.8068534,0.7479286,0.9909977,0.5090989,1.064933,49.67836,0.9909977,147.9271,66.65989
2019-07-15,2019-07-15 16:45:00,106722,12.87668,12.89378,754.4822,0.06903733,754.4493,0,33.42577,0.3917033,33.058,51.435,49.621,2019-07-15 16:40:30,54.609,2019-07-15 16:34:00,106722,12.85433,0.7989958,0.004799875,0.7881568,0.7190961,1.293382,1.017659,2.231133,80.33452,1.293382,58.00004,75.08437
2019-07-15,2019-07-15 17:00:00,106723,12.87223,12.87447,754.4183,0.08373456,754.3486,0,32.83846,0.2342931,32.558,55.429,50.587,2019-07-15 16:46:00,58.611,2019-07-15 16:52:30,106723,12.85097,0.6279333,0.1005818,0.7206964,0.5651399,1.441798,0.5946266,1.375267,160.7796,1.441798,153.1207,80.07899
2019-07-15,2019-07-15 17:15:00,106724,12.87442,12.86776,754.2034,0.09763287,754.1402,0,32.518,0.1760958,32.08,54.592,51.255,2019-07-15 17:08:30,59.318,2019-07-15 17:01:30,106724,12.84761,0.4149525,0.1273922,0.330281,0.3734572,1.498093,0.5345339,1.943667,112.0656,1.498093,130.2218,29.44664
2019-07-15,2019-07-15 17:30:00,106725,12.88469,12.89126,754.0497,0.08041523,754.0143,0,31.99093,0.2080688,31.708,56.965,54.869,2019-07-15 17:22:00,64.175,2019-07-15 17:27:00,106725,12.85433,0.2857628,0.04005459,0.2390112,0.2571865,1.250371,0.6763875,0.4965333,73.63979,1.250371,120.6386,50.09786
2019-07-15,2019-07-15 17:45:00,106726,12.87629,12.89294,753.9894,0.04794979,753.9502,0,31.62633,0.1520847,31.958,56.683,56.683,2019-07-15 17:45:00,65.582,2019-07-15 17:33:00,106726,12.86104,0.2142986,0.01252654,0.1924604,0.1928687,0.6861088,0.5076877,1.257667,58.30629,0.6861088,127.1928,45.33831
2019-07-15,2019-07-15 18:00:00,106727,12.87612,12.88539,753.9221,0.04978409,753.902,0,31.58204,0.2994413,31.728,57.667,56.488,2019-07-15 17:45:30,70.988,2019-07-15 17:50:30,106727,12.85517,0.1815426,0.004529988,0.1803267,0.1633884,1.073318,0.6457888,1.4406,91.46999,1.073318,96.92373,47.13992
2019-07-15,2019-07-15 18:15:00,106728,12.8792,12.88035,753.8331,0.086238,753.7647,0,31.89244,0.1387286,32,58.181,56.248,2019-07-15 18:11:00,59.035,2019-07-15 18:08:00,106728,12.85685,0.2064613,0.02058754,0.2314562,0.1858151,1.4308,0.4425467,2.084133,34.79782,1.4308,68.01151,21.23522
2019-07-15,2019-07-15 18:30:00,106729,12.88284,12.89126,753.8544,0.04536818,753.8632,0,32.0832,0.04952602,32.041,56.058,55.542,2019-07-15 18:26:00,60.654,2019-07-15 18:17:30,106729,12.8602,0.2082114,0.01477435,0.180403,0.1873902,1.438858,0.2922534,1.6268,87.58839,1.438858,54.12953,19.24629
2019-07-15,2019-07-15 18:45:00,106730,12.88256,12.87112,753.9677,0.06723639,753.8425,0,31.77577,0.3688847,30.9,67.539,56.059,2019-07-15 18:38:00,67.861,2019-07-15 18:44:30,106730,12.8602,0.1360959,0.02221278,0.1034036,0.1224863,1.241442,0.3245786,1.404667,25.60206,1.241442,40.49739,28.72165
2019-07-15,2019-07-15 19:00:00,106731,12.74509,12.57899,754.0048,0.05514157,754.1334,0,30.576,0.1990748,29.798,77.222,66.773,2019-07-15 18:50:30,77.222,2019-07-15 19:00:00,106731,12.57899,0.06967089,0.02051258,0.03510381,0.0627038,1.12112,0.3464016,1.051867,216.4634,1.12112,15.7286,43.96315
2019-07-15,2019-07-15 19:15:00,106732,12.45294,12.34143,754.1567,0.07631483,754.1402,0,28.654,0.2211376,28.888,76.363,75.771,2019-07-15 19:14:30,83.352,2019-07-15 19:04:30,106732,12.34143,0.02251477,0.003767377,0.02220697,0.02026329,0.9061735,0.4276229,0.3103333,264.6204,0.9061735,256.7731,38.06656
2019-07-15,2019-07-15 19:30:00,106733,12.34149,12.31709,754.2695,0.06323521,754.328,0,28.47589,0.3410727,27.839,79.574,75.684,2019-07-15 19:16:30,81.464,2019-07-15 19:26:00,106733,12.30198,0.02444802,0.00145308,0.02442004,0.02200322,0.6027001,0.3797217,0.8231999,237.1761,0.6027001,236.3633,26.33187
2019-07-15,2019-07-15 19:45:00,106734,12.25441,12.26,754.5003,0.08265254,754.5226,0,27.22986,0.3601514,26.617,80.156,77.707,2019-07-15 19:37:30,80.68,2019-07-15 19:35:00,106734,12.20124,0.02283019,0.004112303,0.02586998,0.02054717,1.593589,0.5682467,1.3132,258.8489,1.593589,222.2217,18.34286
2019-07-15,2019-07-15 20:00:00,106735,12.24568,12.22559,754.6646,0.07201328,754.6622,0,26.20437,0.2231646,25.878,83.716,80.27,2019-07-15 19:45:30,83.884,2019-07-15 19:59:30,106735,12.22307,0.01817767,0.004172442,0.01243896,0.0163599,0.9525601,0.3862324,1.316467,265.7235,0.9525601,230.7358,24.70348
2019-07-15,2019-07-15 20:15:00,106736,12.2102,12.1769,754.7479,0.0931245,754.8912,0,25.53823,0.1835435,25.255,86.59,83.82,2019-07-15 20:00:30,86.848,2019-07-15 20:14:30,106736,12.1769,0.009416978,0.0014057,0.007707575,0.008475281,0.6677067,0.2772828,0.6729333,186.1259,0.6677067,209.4112,27.79904
2019-07-15,2019-07-15 20:30:00,106737,12.1978,12.18445,754.9247,0.06598337,754.9507,0,24.93657,0.2077683,24.535,92.058,86.726,2019-07-15 20:15:30,92.058,2019-07-15 20:30:00,106737,12.17438,0.007570212,0.001470202,0.01083639,0.006813191,0.6686867,0.1905284,0.7742,254.5209,0.6686867,225.1192,31.72504
2019-07-15,2019-07-15 20:45:00,106738,12.1891,12.18697,755.0262,0.07624534,755.1522,0,24.11593,0.1934756,23.852,95.668,92.16,2019-07-15 20:30:30,95.668,2019-07-15 20:45:00,106738,12.16095,0.006356842,0.003570265,0.002670942,0.005721156,0.9233778,0.3629955,0.5226667,233.0258,0.9233778,253.4464,21.1289
2019-07-15,2019-07-15 21:00:00,106739,12.17668,12.18194,755.0531,0.06512316,754.9942,0,23.667,0.06453712,23.672,97.779,95.792,2019-07-15 20:45:30,97.779,2019-07-15 21:00:00,106739,12.1492,0.00107092,0.001118178,0.001144689,0.0009638286,0.2919311,0.2716818,0.1698667,343.0173,0.2919311,266.5123,39.72209
2019-07-15,2019-07-15 21:15:00,106740,12.17307,12.18026,754.9158,0.0475338,754.937,0,23.626,0.04062868,23.532,97.98,97.638,2019-07-15 21:06:00,98.012,2019-07-15 21:11:30,106740,12.14752,0.0001373627,0.0003148917,0,0.0001236264,0.1030089,0.1993768,0.6337333,124.6792,0.1030089,221.6017,39.92432
2019-07-15,2019-07-15 21:30:00,106741,12.16957,12.18278,754.8795,0.07531562,754.8362,0,23.4426,0.05271462,23.392,98.814,97.953,2019-07-15 21:15:30,98.82,2019-07-15 21:28:30,106741,12.1492,8.394388e-05,0.0002904896,0,7.554951e-05,0.3402778,0.2843176,0,43.70967,0.3402778,197.3077,49.67831
2019-07-15,2019-07-15 21:45:00,106742,12.16867,12.14332,754.7374,0.06159804,754.6164,0,23.6985,0.27409,23.812,97.308,97.3,2019-07-15 21:44:30,99.054,2019-07-15 21:38:30,106742,12.13577,7.631267e-06,4.109563e-05,0,6.868141e-06,0.608471,0.4395036,0.3593333,246.2982,0.608471,118.5773,91.44534
2019-07-15,2019-07-15 22:00:00,106743,12.16565,12.15172,754.7393,0.06551068,754.8386,0.254,23.68833,0.1013732,23.482,98.468,97.378,2019-07-15 21:45:30,98.472,2019-07-15 21:59:30,106743,12.13325,2.79813e-05,9.749585e-05,0,2.518318e-05,0.2845266,0.2371089,0.1829333,217.0204,0.2845266,198.2912,56.65746
2019-07-15,2019-07-15 22:15:00,106744,12.16014,12.17438,754.8029,0.05046109,754.6485,0,23.47377,0.05299487,23.492,99.867,98.539,2019-07-15 22:00:30,99.867,2019-07-15 22:15:00,106744,12.13829,5.087527e-06,1.903579e-05,0,4.578775e-06,0.4333778,0.2855427,0.1633333,290.2918,0.4333778,268.9021,20.74095
2019-07-15,2019-07-15 22:30:00,106745,12.1595,12.16851,754.8325,0.05887135,754.8774,0.254,23.26437,0.08740612,23.132,99.998,99.822,2019-07-15 22:16:30,99.998,2019-07-15 22:22:30,106745,12.12821,2.543764e-06,1.369859e-05,0,2.289388e-06,0.1990489,0.1992648,0.06206666,281.3994,0.1990489,243.2581,16.65826
2019-07-15,2019-07-15 22:45:00,106746,12.15871,12.16683,754.9426,0.07293766,755.0767,0,23.10317,0.02599256,23.05,99.998,99.998,2019-07-15 22:30:30,99.998,2019-07-15 22:30:30,106746,12.13157,0,0,0,0,0.1556022,0.153089,0.2156,171.5986,0.1556022,182.3502,35.72192
2019-07-15,2019-07-15 23:00:00,106747,12.15617,12.16263,755.0495,0.05308394,755.0858,0.254,22.87567,0.07679785,22.73,99.998,99.998,2019-07-15 22:45:30,99.998,2019-07-15 22:45:30,106747,12.12066,1.780627e-05,7.288643e-05,0,1.602565e-05,0.1387244,0.1703366,0.5063333,258.9421,0.1387244,204.5465,29.95497
2019-07-15,2019-07-15 23:15:00,106748,12.15493,12.16263,755.1473,0.04826534,755.2324,0,22.77796,0.03460111,22.75,99.998,99.998,2019-07-15 23:00:30,99.998,2019-07-15 23:00:30,106748,12.11562,1.271877e-05,6.849268e-05,0,1.144689e-05,0.23128,0.2490369,0.3299333,214.2203,0.23128,220.3967,13.22644
2019-07-15,2019-07-15 23:30:00,106749,12.14981,12.13829,755.197,0.0648143,755.1912,0.254,22.7079,0.04117477,22.65,99.998,99.998,2019-07-15 23:15:30,99.998,2019-07-15 23:15:30,106749,12.1131,2.79813e-05,0.0001506839,0,2.518318e-05,0.1169467,0.1335647,0,251.5842,0.1169467,199.4466,23.46791
2019-07-15,2019-07-15 23:45:00,106750,12.1485,12.15339,755.1838,0.05205274,755.1591,0,22.6902,0.05219839,22.75,99.998,99.998,2019-07-15 23:30:30,99.998,2019-07-15 23:30:30,106750,12.11562,5.087508e-05,0.0001640672,0.0007631262,4.578758e-05,0.01154222,0.04378416,0,262.4293,0.01154222,271.857,2.072791
2019-07-16,2019-07-16 00:00:00,106751,12.1363,12.1173,755.1951,0.04502458,755.2278,0,22.6572,0.04068376,22.609,99.998,99.998,2019-07-15 23:45:30,99.998,2019-07-15 23:45:30,106751,12.11394,2.289378e-05,6.579423e-05,0,2.06044e-05,0.007622222,0.02970492,0.0588,281.4233,0.007622222,281.1235,0.06838528
2019-07-16,2019-07-16 00:15:00,106752,12.13929,12.10975,755.2357,0.06418685,755.2873,0,22.67777,0.03799515,22.689,99.998,99.998,2019-07-16 00:00:30,99.998,2019-07-16 00:00:30,106752,12.10975,2.79813e-05,9.548401e-05,0,2.518318e-05,0.03963555,0.08002437,0,160.7319,0.03963555,295.1196,5.582291
2019-07-16,2019-07-16 00:30:00,106753,12.1326,12.14164,755.3531,0.09114344,755.4888,0,22.55503,0.1549368,22.328,99.998,99.998,2019-07-16 00:15:30,99.998,2019-07-16 00:15:30,106753,12.10639,0,0,0,0,0.1703022,0.2025539,0,210.2,0.1703022,182.6663,17.29665
2019-07-16,2019-07-16 00:45:00,106754,12.12357,12.12821,755.4379,0.0726665,755.5346,0,22.55694,0.0982055,22.64,99.998,99.998,2019-07-16 00:30:30,99.998,2019-07-16 00:30:30,106754,12.09212,0,0,0,0,0.1612644,0.2025113,0.098,280.201,0.1612644,200.1796,35.83452
