"Plot Title: Stream_A"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 20781165, SEN S/N: 20781165)","Temp, °C (LGR S/N: 20781165, SEN S/N: 20781165)"
1,20-03-06 11:40:00 AM,8.36,24.02
2,20-03-06 11:45:00 AM,8.36,24.04
3,20-03-06 11:50:00 AM,8.40,23.90
4,20-03-06 11:55:00 AM,8.43,23.74
5,20-03-06 12:00:00 PM,8.45,23.60
6,20-03-06 12:05:00 PM,8.47,23.52
7,20-03-06 12:10:00 PM,8.50,23.34
8,20-03-06 12:15:00 PM,8.56,23.04
9,20-03-06 12:20:00 PM,8.59,22.84
10,20-03-06 12:25:00 PM,8.61,22.72
11,20-03-06 12:30:00 PM,8.61,22.64
12,20-03-06 12:35:00 PM,8.62,22.60
13,20-03-06 12:40:00 PM,8.62,22.58
14,20-03-06 12:45:00 PM,8.61,22.54
15,20-03-06 12:50:00 PM,8.60,22.50
16,20-03-06 12:55:00 PM,8.60,22.46
17,20-03-06 01:00:00 PM,8.71,22.08
18,20-03-06 01:05:00 PM,9.01,20.82
19,20-03-06 01:10:00 PM,9.21,19.70
20,20-03-06 01:15:00 PM,9.24,16.92
21,20-03-06 01:20:00 PM,10.46,12.98
22,20-03-06 01:25:00 PM,11.06,11.34
23,20-03-06 01:30:00 PM,11.32,10.64
24,20-03-06 01:35:00 PM,11.46,10.30
25,20-03-06 01:40:00 PM,11.53,10.14
26,20-03-06 01:45:00 PM,11.59,10.06
27,20-03-06 01:50:00 PM,11.67,10.04
28,20-03-06 01:55:00 PM,11.70,10.08
29,20-03-06 02:00:00 PM,11.69,10.10
30,20-03-06 02:05:00 PM,11.73,10.12
31,20-03-06 02:10:00 PM,11.71,10.14
32,20-03-06 02:15:00 PM,11.73,10.16
33,20-03-06 02:20:00 PM,11.72,10.18
34,20-03-06 02:25:00 PM,11.72,10.20
35,20-03-06 02:30:00 PM,11.73,10.20
36,20-03-06 02:35:00 PM,11.72,10.18
37,20-03-06 02:40:00 PM,11.69,10.16
38,20-03-06 02:45:00 PM,11.69,10.14
39,20-03-06 02:50:00 PM,11.70,10.14
40,20-03-06 02:55:00 PM,11.70,10.14
41,20-03-06 03:00:00 PM,11.72,10.14
42,20-03-06 03:05:00 PM,11.72,10.14
43,20-03-06 03:10:00 PM,11.72,10.14
44,20-03-06 03:15:00 PM,11.72,10.14
45,20-03-06 03:20:00 PM,11.73,10.14
46,20-03-06 03:25:00 PM,11.74,10.16
47,20-03-06 03:30:00 PM,11.71,10.16
48,20-03-06 03:35:00 PM,11.70,10.14
49,20-03-06 03:40:00 PM,11.70,10.14
50,20-03-06 03:45:00 PM,11.68,10.14
51,20-03-06 03:50:00 PM,11.68,10.14
52,20-03-06 03:55:00 PM,11.64,10.12
53,20-03-06 04:00:00 PM,11.62,10.10
54,20-03-06 04:05:00 PM,11.61,10.08
55,20-03-06 04:10:00 PM,11.56,10.06
56,20-03-06 04:15:00 PM,11.56,10.02
57,20-03-06 04:20:00 PM,11.54,10.00
58,20-03-06 04:25:00 PM,11.53,9.98
59,20-03-06 04:30:00 PM,11.50,9.96
60,20-03-06 04:35:00 PM,11.50,9.92
61,20-03-06 04:40:00 PM,11.46,9.88
62,20-03-06 04:45:00 PM,11.42,9.84
63,20-03-06 04:50:00 PM,11.38,9.80
64,20-03-06 04:55:00 PM,11.35,9.76
65,20-03-06 05:00:00 PM,11.32,9.70
66,20-03-06 05:05:00 PM,11.30,9.66
67,20-03-06 05:10:00 PM,11.29,9.64
68,20-03-06 05:15:00 PM,11.27,9.60
69,20-03-06 05:20:00 PM,11.26,9.56
70,20-03-06 05:25:00 PM,11.24,9.54
71,20-03-06 05:30:00 PM,11.21,9.50
72,20-03-06 05:35:00 PM,11.19,9.48
73,20-03-06 05:40:00 PM,11.17,9.46
74,20-03-06 05:45:00 PM,11.14,9.42
75,20-03-06 05:50:00 PM,11.11,9.40
76,20-03-06 05:55:00 PM,11.08,9.38
