"Plot Title: Stream_A"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20724665, SEN S/N: 20724665)","Intensity, Lux (LGR S/N: 20724665, SEN S/N: 20724665)"
1,20-03-06 12:00:00 PM,25.319,376.7
2,20-03-06 12:05:00 PM,24.545,333.7
3,20-03-06 12:10:00 PM,25.028,2669.5
4,20-03-06 12:15:00 PM,23.869,1636.1
5,20-03-06 12:20:00 PM,23.677,2325.0
6,20-03-06 12:25:00 PM,23.966,5511.1
7,20-03-06 12:30:00 PM,24.158,2755.6
8,20-03-06 12:35:00 PM,24.448,3100.0
9,20-03-06 12:40:00 PM,24.448,1194.8
10,20-03-06 12:45:00 PM,24.062,2927.8
11,20-03-06 12:50:00 PM,23.966,3788.9
12,20-03-06 12:55:00 PM,23.966,5338.9
13,20-03-06 01:00:00 PM,21.664,6544.5
14,20-03-06 01:05:00 PM,18.236,7577.8
15,20-03-06 01:10:00 PM,15.951,7577.8
16,20-03-06 01:15:00 PM,14.900,8266.7
17,20-03-06 01:20:00 PM,13.750,12400.1
18,20-03-06 01:25:00 PM,12.883,12400.1
19,20-03-06 01:30:00 PM,12.401,13089.0
20,20-03-06 01:35:00 PM,12.497,14466.8
21,20-03-06 01:40:00 PM,12.883,22044.6
22,20-03-06 01:45:00 PM,14.517,82667.2
23,20-03-06 01:50:00 PM,17.760,31689.1
24,20-03-06 01:55:00 PM,16.141,23422.4
25,20-03-06 02:00:00 PM,16.999,126756.4
26,20-03-06 02:05:00 PM,17.665,22044.6
27,20-03-06 02:10:00 PM,16.999,44089.2
28,20-03-06 02:15:00 PM,16.903,35822.5
29,20-03-06 02:20:00 PM,15.664,24800.2
30,20-03-06 02:25:00 PM,14.996,23422.4
31,20-03-06 02:30:00 PM,14.325,17911.2
32,20-03-06 02:35:00 PM,13.461,15155.7
33,20-03-06 02:40:00 PM,13.269,19289.0
34,20-03-06 02:45:00 PM,13.654,23422.4
35,20-03-06 02:50:00 PM,13.846,20666.8
36,20-03-06 02:55:00 PM,14.038,23422.4
37,20-03-06 03:00:00 PM,13.846,19977.9
38,20-03-06 03:05:00 PM,13.846,23422.4
39,20-03-06 03:10:00 PM,14.230,22044.6
40,20-03-06 03:15:00 PM,14.517,55111.5
41,20-03-06 03:20:00 PM,15.760,17222.3
42,20-03-06 03:25:00 PM,14.134,14466.8
43,20-03-06 03:30:00 PM,13.942,35822.5
44,20-03-06 03:35:00 PM,14.804,42711.4
45,20-03-06 03:40:00 PM,15.091,22044.6
46,20-03-06 03:45:00 PM,17.379,44089.2
47,20-03-06 03:50:00 PM,17.094,11022.3
48,20-03-06 03:55:00 PM,15.378,34444.7
49,20-03-06 04:00:00 PM,15.282,33066.9
50,20-03-06 04:05:00 PM,14.134,7577.8
51,20-03-06 04:10:00 PM,12.690,11711.2
52,20-03-06 04:15:00 PM,12.207,10333.4
53,20-03-06 04:20:00 PM,11.722,6200.0
54,20-03-06 04:25:00 PM,11.722,7233.4
55,20-03-06 04:30:00 PM,11.625,8266.7
56,20-03-06 04:35:00 PM,11.431,6200.0
57,20-03-06 04:40:00 PM,10.944,3444.5
58,20-03-06 04:45:00 PM,10.651,4650.0
59,20-03-06 04:50:00 PM,10.651,5338.9
60,20-03-06 04:55:00 PM,10.455,3788.9
61,20-03-06 05:00:00 PM,10.357,5338.9
62,20-03-06 05:05:00 PM,10.259,5166.7
63,20-03-06 05:10:00 PM,10.161,5166.7
64,20-03-06 05:15:00 PM,10.063,4650.0
65,20-03-06 05:20:00 PM,9.866,4133.4
66,20-03-06 05:25:00 PM,9.768,3788.9
67,20-03-06 05:30:00 PM,9.669,4133.4
68,20-03-06 05:35:00 PM,9.669,3444.5
69,20-03-06 05:40:00 PM,9.571,3100.0
70,20-03-06 05:45:00 PM,9.472,2755.6
71,20-03-06 05:50:00 PM,9.275,1808.3
72,20-03-06 05:55:00 PM,9.077,1636.1
73,20-03-06 06:00:00 PM,8.978,1184.0
74,20-03-06 06:05:00 PM,8.779,882.6
75,20-03-06 06:10:00 PM,8.680,538.2
76,20-03-06 06:15:00 PM,8.581,312.2
77,20-03-06 06:20:00 PM,8.481,118.4
78,20-03-06 06:25:00 PM,8.382,53.8
79,20-03-06 06:30:00 PM,8.282,10.8
80,20-03-06 06:35:00 PM,8.082,0.0
81,20-03-06 06:40:00 PM,7.782,0.0
82,20-03-06 06:45:00 PM,7.481,0.0
83,20-03-06 06:50:00 PM,7.280,0.0
84,20-03-06 06:55:00 PM,7.280,0.0
85,20-03-06 07:00:00 PM,7.179,0.0
86,20-03-06 07:05:00 PM,7.079,0.0
87,20-03-06 07:10:00 PM,6.978,0.0
88,20-03-06 07:15:00 PM,6.978,0.0
89,20-03-06 07:20:00 PM,6.877,0.0
90,20-03-06 07:25:00 PM,6.978,0.0
91,20-03-06 07:30:00 PM,7.079,0.0
92,20-03-06 07:35:00 PM,7.179,0.0
93,20-03-06 07:40:00 PM,7.079,0.0
94,20-03-06 07:45:00 PM,7.079,0.0
95,20-03-06 07:50:00 PM,7.079,0.0
96,20-03-06 07:55:00 PM,6.978,0.0
97,20-03-06 08:00:00 PM,6.978,0.0
98,20-03-06 08:05:00 PM,6.978,0.0
99,20-03-06 08:10:00 PM,6.978,0.0
100,20-03-06 08:15:00 PM,6.877,0.0
101,20-03-06 08:20:00 PM,6.877,0.0
102,20-03-06 08:25:00 PM,6.674,0.0
103,20-03-06 08:30:00 PM,6.775,0.0
104,20-03-06 08:35:00 PM,6.775,0.0
105,20-03-06 08:40:00 PM,6.877,0.0
106,20-03-06 08:45:00 PM,6.674,0.0
107,20-03-06 08:50:00 PM,6.573,0.0
108,20-03-06 08:55:00 PM,6.573,0.0
109,20-03-06 09:00:00 PM,6.573,0.0
110,20-03-06 09:05:00 PM,6.471,0.0
111,20-03-06 09:10:00 PM,6.268,0.0
112,20-03-06 09:15:00 PM,5.962,0.0
113,20-03-06 09:20:00 PM,5.860,0.0
114,20-03-06 09:25:00 PM,5.962,0.0
115,20-03-06 09:30:00 PM,5.962,0.0
116,20-03-06 09:35:00 PM,6.064,0.0
117,20-03-06 09:40:00 PM,6.166,0.0
118,20-03-06 09:45:00 PM,6.166,0.0
119,20-03-06 09:50:00 PM,6.268,0.0
120,20-03-06 09:55:00 PM,6.268,0.0
121,20-03-06 10:00:00 PM,6.268,0.0
122,20-03-06 10:05:00 PM,6.268,0.0
123,20-03-06 10:10:00 PM,6.166,0.0
124,20-03-06 10:15:00 PM,6.064,0.0
125,20-03-06 10:20:00 PM,5.860,0.0
126,20-03-06 10:25:00 PM,5.450,0.0
127,20-03-06 10:30:00 PM,5.037,0.0
128,20-03-06 10:35:00 PM,4.934,0.0
129,20-03-06 10:40:00 PM,4.623,0.0
130,20-03-06 10:45:00 PM,4.311,0.0
131,20-03-06 10:50:00 PM,4.415,0.0
132,20-03-06 10:55:00 PM,4.623,0.0
133,20-03-06 11:00:00 PM,4.934,0.0
134,20-03-06 11:05:00 PM,4.934,0.0
135,20-03-06 11:10:00 PM,5.141,0.0
136,20-03-06 11:15:00 PM,5.141,0.0
137,20-03-06 11:20:00 PM,5.037,0.0
138,20-03-06 11:25:00 PM,5.037,0.0
139,20-03-06 11:30:00 PM,5.037,0.0
140,20-03-06 11:35:00 PM,4.831,0.0
141,20-03-06 11:40:00 PM,4.623,0.0
142,20-03-06 11:45:00 PM,4.311,0.0
143,20-03-06 11:50:00 PM,4.311,0.0
144,20-03-06 11:55:00 PM,4.519,0.0
145,20-03-07 12:00:00 AM,4.727,0.0
146,20-03-07 12:05:00 AM,4.934,0.0
147,20-03-07 12:10:00 AM,5.037,0.0
148,20-03-07 12:15:00 AM,5.037,0.0
149,20-03-07 12:20:00 AM,5.037,0.0
150,20-03-07 12:25:00 AM,5.037,0.0
151,20-03-07 12:30:00 AM,5.141,0.0
152,20-03-07 12:35:00 AM,5.244,0.0
153,20-03-07 12:40:00 AM,5.141,0.0
154,20-03-07 12:45:00 AM,5.141,0.0
155,20-03-07 12:50:00 AM,5.244,0.0
156,20-03-07 12:55:00 AM,5.244,0.0
157,20-03-07 01:00:00 AM,5.244,0.0
158,20-03-07 01:05:00 AM,5.244,0.0
159,20-03-07 01:10:00 AM,5.244,0.0
160,20-03-07 01:15:00 AM,5.244,0.0
161,20-03-07 01:20:00 AM,5.244,0.0
162,20-03-07 01:25:00 AM,5.244,0.0
163,20-03-07 01:30:00 AM,5.244,0.0
164,20-03-07 01:35:00 AM,5.244,0.0
165,20-03-07 01:40:00 AM,5.141,0.0
166,20-03-07 01:45:00 AM,5.244,0.0
167,20-03-07 01:50:00 AM,5.244,0.0
168,20-03-07 01:55:00 AM,5.244,0.0
169,20-03-07 02:00:00 AM,5.244,0.0
170,20-03-07 02:05:00 AM,5.347,0.0
171,20-03-07 02:10:00 AM,5.347,0.0
172,20-03-07 02:15:00 AM,5.347,0.0
173,20-03-07 02:20:00 AM,5.347,0.0
174,20-03-07 02:25:00 AM,5.347,0.0
175,20-03-07 02:30:00 AM,5.347,0.0
176,20-03-07 02:35:00 AM,5.552,0.0
177,20-03-07 02:40:00 AM,5.450,0.0
178,20-03-07 02:45:00 AM,5.347,0.0
179,20-03-07 02:50:00 AM,5.347,0.0
180,20-03-07 02:55:00 AM,5.552,0.0
181,20-03-07 03:00:00 AM,5.552,0.0
182,20-03-07 03:05:00 AM,5.450,0.0
183,20-03-07 03:10:00 AM,5.347,0.0
184,20-03-07 03:15:00 AM,5.347,0.0
185,20-03-07 03:20:00 AM,5.244,0.0
186,20-03-07 03:25:00 AM,5.141,0.0
187,20-03-07 03:30:00 AM,5.141,0.0
188,20-03-07 03:35:00 AM,5.141,0.0
189,20-03-07 03:40:00 AM,5.141,0.0
190,20-03-07 03:45:00 AM,5.141,0.0
191,20-03-07 03:50:00 AM,5.141,0.0
192,20-03-07 03:55:00 AM,5.141,0.0
193,20-03-07 04:00:00 AM,5.244,0.0
194,20-03-07 04:05:00 AM,5.141,0.0
195,20-03-07 04:10:00 AM,5.141,0.0
196,20-03-07 04:15:00 AM,5.141,0.0
197,20-03-07 04:20:00 AM,5.037,0.0
198,20-03-07 04:25:00 AM,5.141,0.0
199,20-03-07 04:30:00 AM,5.037,0.0
200,20-03-07 04:35:00 AM,4.934,0.0
201,20-03-07 04:40:00 AM,4.934,0.0
202,20-03-07 04:45:00 AM,5.037,0.0
203,20-03-07 04:50:00 AM,5.141,0.0
204,20-03-07 04:55:00 AM,5.141,0.0
205,20-03-07 05:00:00 AM,5.141,0.0
206,20-03-07 05:05:00 AM,5.244,0.0
207,20-03-07 05:10:00 AM,5.141,0.0
