"Plot Title: Stream_B"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20724664, SEN S/N: 20724664)","Intensity, Lux (LGR S/N: 20724664, SEN S/N: 20724664)"
1,20-03-06 12:05:00 PM,24.931,247.6
2,20-03-06 12:10:00 PM,23.966,2238.9
3,20-03-06 12:15:00 PM,23.100,1550.0
4,20-03-06 12:20:00 PM,22.908,1894.5
5,20-03-06 12:25:00 PM,22.908,3444.5
6,20-03-06 12:30:00 PM,23.100,2152.8
7,20-03-06 12:35:00 PM,23.292,2669.5
8,20-03-06 12:40:00 PM,23.388,688.9
9,20-03-06 12:45:00 PM,23.196,1463.9
10,20-03-06 12:50:00 PM,23.196,2927.8
11,20-03-06 12:55:00 PM,23.292,4650.0
12,20-03-06 01:00:00 PM,21.378,4650.0
13,20-03-06 01:05:00 PM,18.331,7233.4
14,20-03-06 01:10:00 PM,16.523,3444.5
15,20-03-06 01:15:00 PM,15.855,3961.1
16,20-03-06 01:20:00 PM,15.473,3961.1
17,20-03-06 01:25:00 PM,14.900,4133.4
18,20-03-06 01:30:00 PM,14.613,4305.6
19,20-03-06 01:35:00 PM,14.230,4822.3
20,20-03-06 01:40:00 PM,14.038,5166.7
21,20-03-06 01:45:00 PM,13.942,8266.7
22,20-03-06 01:50:00 PM,14.134,5166.7
23,20-03-06 01:55:00 PM,14.134,7233.4
24,20-03-06 02:00:00 PM,14.325,12400.1
25,20-03-06 02:05:00 PM,14.421,6200.0
26,20-03-06 02:10:00 PM,14.613,9300.1
27,20-03-06 02:15:00 PM,14.804,7233.4
28,20-03-06 02:20:00 PM,14.996,9644.5
29,20-03-06 02:25:00 PM,15.187,8611.2
30,20-03-06 02:30:00 PM,15.282,7233.4
31,20-03-06 02:35:00 PM,15.187,14466.8
32,20-03-06 02:40:00 PM,14.421,19289.0
33,20-03-06 02:45:00 PM,14.613,22044.6
34,20-03-06 02:50:00 PM,14.709,19289.0
35,20-03-06 02:55:00 PM,14.996,22044.6
36,20-03-06 03:00:00 PM,14.900,22044.6
37,20-03-06 03:05:00 PM,14.996,26178.0
38,20-03-06 03:10:00 PM,15.187,23422.4
39,20-03-06 03:15:00 PM,16.046,26178.0
40,20-03-06 03:20:00 PM,16.999,18600.1
41,20-03-06 03:25:00 PM,15.378,15155.7
42,20-03-06 03:30:00 PM,14.613,13777.9
43,20-03-06 03:35:00 PM,14.421,12400.1
44,20-03-06 03:40:00 PM,14.517,10333.4
45,20-03-06 03:45:00 PM,15.378,20666.8
46,20-03-06 03:50:00 PM,14.517,17911.2
47,20-03-06 03:55:00 PM,13.846,20666.8
48,20-03-06 04:00:00 PM,13.750,18600.1
49,20-03-06 04:05:00 PM,13.173,6544.5
50,20-03-06 04:10:00 PM,12.497,11711.2
51,20-03-06 04:15:00 PM,12.401,11711.2
52,20-03-06 04:20:00 PM,12.207,6200.0
53,20-03-06 04:25:00 PM,12.690,14466.8
54,20-03-06 04:30:00 PM,13.558,8611.2
55,20-03-06 04:35:00 PM,12.594,5511.1
56,20-03-06 04:40:00 PM,11.431,4650.0
57,20-03-06 04:45:00 PM,10.748,4994.5
58,20-03-06 04:50:00 PM,10.651,5511.1
59,20-03-06 04:55:00 PM,10.455,3788.9
60,20-03-06 05:00:00 PM,10.357,4994.5
61,20-03-06 05:05:00 PM,10.259,5166.7
62,20-03-06 05:10:00 PM,10.161,4994.5
63,20-03-06 05:15:00 PM,10.063,4822.3
64,20-03-06 05:20:00 PM,9.965,4305.6
65,20-03-06 05:25:00 PM,9.768,3961.1
66,20-03-06 05:30:00 PM,9.768,4477.8
67,20-03-06 05:35:00 PM,9.669,3788.9
68,20-03-06 05:40:00 PM,9.571,3272.2
69,20-03-06 05:45:00 PM,9.373,2583.4
70,20-03-06 05:50:00 PM,9.077,1980.6
71,20-03-06 05:55:00 PM,8.879,1463.9
72,20-03-06 06:00:00 PM,8.680,1205.6
73,20-03-06 06:05:00 PM,8.382,871.9
74,20-03-06 06:10:00 PM,8.282,538.2
75,20-03-06 06:15:00 PM,8.082,322.9
76,20-03-06 06:20:00 PM,7.983,118.4
77,20-03-06 06:25:00 PM,7.983,64.6
78,20-03-06 06:30:00 PM,7.782,10.8
79,20-03-06 06:35:00 PM,7.582,0.0
80,20-03-06 06:40:00 PM,7.079,0.0
81,20-03-06 06:45:00 PM,6.775,0.0
82,20-03-06 06:50:00 PM,6.674,0.0
83,20-03-06 06:55:00 PM,6.674,0.0
84,20-03-06 07:00:00 PM,6.370,0.0
85,20-03-06 07:05:00 PM,6.166,0.0
86,20-03-06 07:10:00 PM,5.860,0.0
87,20-03-06 07:15:00 PM,5.757,0.0
88,20-03-06 07:20:00 PM,6.064,0.0
89,20-03-06 07:25:00 PM,6.166,0.0
90,20-03-06 07:30:00 PM,6.370,0.0
91,20-03-06 07:35:00 PM,6.573,0.0
92,20-03-06 07:40:00 PM,6.674,0.0
93,20-03-06 07:45:00 PM,6.674,0.0
94,20-03-06 07:50:00 PM,6.573,0.0
95,20-03-06 07:55:00 PM,6.471,0.0
96,20-03-06 08:00:00 PM,6.370,0.0
97,20-03-06 08:05:00 PM,6.370,0.0
98,20-03-06 08:10:00 PM,6.268,0.0
99,20-03-06 08:15:00 PM,6.268,0.0
100,20-03-06 08:20:00 PM,6.268,0.0
101,20-03-06 08:25:00 PM,6.166,0.0
102,20-03-06 08:30:00 PM,6.064,0.0
103,20-03-06 08:35:00 PM,6.166,0.0
104,20-03-06 08:40:00 PM,6.166,0.0
105,20-03-06 08:45:00 PM,6.166,0.0
106,20-03-06 08:50:00 PM,6.064,0.0
107,20-03-06 08:55:00 PM,6.166,0.0
108,20-03-06 09:00:00 PM,6.166,0.0
109,20-03-06 09:05:00 PM,6.064,0.0
110,20-03-06 09:10:00 PM,5.860,0.0
111,20-03-06 09:15:00 PM,5.757,0.0
112,20-03-06 09:20:00 PM,5.552,0.0
113,20-03-06 09:25:00 PM,5.450,0.0
114,20-03-06 09:30:00 PM,5.552,0.0
115,20-03-06 09:35:00 PM,5.757,0.0
116,20-03-06 09:40:00 PM,5.962,0.0
117,20-03-06 09:45:00 PM,5.962,0.0
118,20-03-06 09:50:00 PM,5.962,0.0
119,20-03-06 09:55:00 PM,6.064,0.0
120,20-03-06 10:00:00 PM,6.064,0.0
121,20-03-06 10:05:00 PM,6.064,0.0
122,20-03-06 10:10:00 PM,6.064,0.0
123,20-03-06 10:15:00 PM,5.962,0.0
124,20-03-06 10:20:00 PM,5.757,0.0
125,20-03-06 10:25:00 PM,5.244,0.0
126,20-03-06 10:30:00 PM,4.727,0.0
127,20-03-06 10:35:00 PM,4.623,0.0
128,20-03-06 10:40:00 PM,4.311,0.0
129,20-03-06 10:45:00 PM,3.998,0.0
130,20-03-06 10:50:00 PM,3.788,0.0
131,20-03-06 10:55:00 PM,3.893,0.0
132,20-03-06 11:00:00 PM,4.102,0.0
133,20-03-06 11:05:00 PM,4.311,0.0
134,20-03-06 11:10:00 PM,4.519,0.0
135,20-03-06 11:15:00 PM,4.519,0.0
136,20-03-06 11:20:00 PM,4.623,0.0
137,20-03-06 11:25:00 PM,4.623,0.0
138,20-03-06 11:30:00 PM,4.623,0.0
139,20-03-06 11:35:00 PM,4.415,0.0
140,20-03-06 11:40:00 PM,3.893,0.0
141,20-03-06 11:45:00 PM,3.683,0.0
142,20-03-06 11:50:00 PM,3.472,0.0
143,20-03-06 11:55:00 PM,3.683,0.0
144,20-03-07 12:00:00 AM,3.998,0.0
145,20-03-07 12:05:00 AM,4.207,0.0
146,20-03-07 12:10:00 AM,4.415,0.0
147,20-03-07 12:15:00 AM,4.519,0.0
148,20-03-07 12:20:00 AM,4.519,0.0
149,20-03-07 12:25:00 AM,4.519,0.0
150,20-03-07 12:30:00 AM,4.623,0.0
151,20-03-07 12:35:00 AM,4.727,0.0
152,20-03-07 12:40:00 AM,4.623,0.0
153,20-03-07 12:45:00 AM,4.727,0.0
154,20-03-07 12:50:00 AM,4.831,0.0
155,20-03-07 12:55:00 AM,4.831,0.0
156,20-03-07 01:00:00 AM,4.934,0.0
157,20-03-07 01:05:00 AM,4.934,0.0
158,20-03-07 01:10:00 AM,4.934,0.0
159,20-03-07 01:15:00 AM,4.934,0.0
160,20-03-07 01:20:00 AM,4.934,0.0
161,20-03-07 01:25:00 AM,4.934,0.0
162,20-03-07 01:30:00 AM,4.934,0.0
163,20-03-07 01:35:00 AM,4.831,0.0
164,20-03-07 01:40:00 AM,4.934,0.0
165,20-03-07 01:45:00 AM,4.934,0.0
166,20-03-07 01:50:00 AM,4.934,0.0
167,20-03-07 01:55:00 AM,4.934,0.0
168,20-03-07 02:00:00 AM,4.934,0.0
169,20-03-07 02:05:00 AM,4.934,0.0
170,20-03-07 02:10:00 AM,5.037,0.0
171,20-03-07 02:15:00 AM,5.037,0.0
172,20-03-07 02:20:00 AM,4.934,0.0
173,20-03-07 02:25:00 AM,4.934,0.0
174,20-03-07 02:30:00 AM,5.037,0.0
175,20-03-07 02:35:00 AM,5.141,0.0
176,20-03-07 02:40:00 AM,5.037,0.0
177,20-03-07 02:45:00 AM,4.934,0.0
178,20-03-07 02:50:00 AM,4.934,0.0
179,20-03-07 02:55:00 AM,5.037,0.0
180,20-03-07 03:00:00 AM,5.141,0.0
181,20-03-07 03:05:00 AM,4.934,0.0
182,20-03-07 03:10:00 AM,5.037,0.0
183,20-03-07 03:15:00 AM,4.831,0.0
184,20-03-07 03:20:00 AM,4.727,0.0
185,20-03-07 03:25:00 AM,4.727,0.0
186,20-03-07 03:30:00 AM,4.519,0.0
187,20-03-07 03:35:00 AM,4.623,0.0
188,20-03-07 03:40:00 AM,4.727,0.0
189,20-03-07 03:45:00 AM,4.623,0.0
190,20-03-07 03:50:00 AM,4.519,0.0
191,20-03-07 03:55:00 AM,4.727,0.0
192,20-03-07 04:00:00 AM,4.727,0.0
193,20-03-07 04:05:00 AM,4.727,0.0
194,20-03-07 04:10:00 AM,4.727,0.0
195,20-03-07 04:15:00 AM,4.727,0.0
196,20-03-07 04:20:00 AM,4.623,0.0
197,20-03-07 04:25:00 AM,4.623,0.0
198,20-03-07 04:30:00 AM,4.415,0.0
199,20-03-07 04:35:00 AM,4.311,0.0
200,20-03-07 04:40:00 AM,4.519,0.0
201,20-03-07 04:45:00 AM,4.623,0.0
202,20-03-07 04:50:00 AM,4.727,0.0
203,20-03-07 04:55:00 AM,4.831,0.0
204,20-03-07 05:00:00 AM,4.831,0.0
205,20-03-07 05:05:00 AM,4.727,0.0
206,20-03-07 05:10:00 AM,4.831,0.0
207,20-03-07 05:15:00 AM,4.727,0.0
208,20-03-07 05:20:00 AM,4.727,0.0
209,20-03-07 05:25:00 AM,4.623,0.0
210,20-03-07 05:30:00 AM,4.623,0.0
211,20-03-07 05:35:00 AM,4.623,0.0
212,20-03-07 05:40:00 AM,4.415,0.0
213,20-03-07 05:45:00 AM,4.207,0.0
214,20-03-07 05:50:00 AM,3.893,0.0
215,20-03-07 05:55:00 AM,3.683,0.0
216,20-03-07 06:00:00 AM,3.367,0.0
217,20-03-07 06:05:00 AM,3.155,0.0
218,20-03-07 06:10:00 AM,3.367,0.0
219,20-03-07 06:15:00 AM,3.578,0.0
220,20-03-07 06:20:00 AM,3.893,0.0
221,20-03-07 06:25:00 AM,4.102,32.3
222,20-03-07 06:30:00 AM,4.207,86.1
223,20-03-07 06:35:00 AM,4.311,193.8
224,20-03-07 06:40:00 AM,4.415,333.7
225,20-03-07 06:45:00 AM,4.415,613.5
226,20-03-07 06:50:00 AM,4.519,1065.6
227,20-03-07 06:55:00 AM,4.415,1550.0
228,20-03-07 07:00:00 AM,4.311,1313.2
229,20-03-07 07:05:00 AM,3.998,1324.0
230,20-03-07 07:10:00 AM,3.788,1377.8
231,20-03-07 07:15:00 AM,3.578,1550.0
232,20-03-07 07:20:00 AM,3.472,1722.2
233,20-03-07 07:25:00 AM,3.578,1636.1
234,20-03-07 07:30:00 AM,3.578,2238.9
235,20-03-07 07:35:00 AM,3.788,2411.1
236,20-03-07 07:40:00 AM,3.788,2755.6
237,20-03-07 07:45:00 AM,3.998,2927.8
238,20-03-07 07:50:00 AM,4.102,3272.2
239,20-03-07 07:55:00 AM,4.207,3616.7
240,20-03-07 08:00:00 AM,4.311,3788.9
241,20-03-07 08:05:00 AM,4.415,4133.4
242,20-03-07 08:10:00 AM,4.831,4477.8
243,20-03-07 08:15:00 AM,5.141,4994.5
244,20-03-07 08:20:00 AM,5.860,5511.1
245,20-03-07 08:25:00 AM,6.674,6200.0
246,20-03-07 08:30:00 AM,7.179,6544.5
