date.time,date,time,fract_sec,site_name,cond,nLF_cond,perc_ODO,perc_local_ODO,ODO_conc,sal,sp_cond,TDS,pH,pH_mV,temp,battery,cable_pwr
2019-07-01 10:50:00,7/1/2019,10:50:00,0,NA,0.5,0.5,99.8,99.5,8.68,0,0.5,0,7.25,-29.5,22.227,3.11,1.6
2019-07-01 10:55:00,7/1/2019,10:55:00,0,NA,0.3,0.3,99.8,99.5,8.84,0,0.3,0,7.25,-29.5,21.34,3.11,1.6
2019-07-01 11:00:00,7/1/2019,11:00:00,0,NA,121.2,111.7,137.7,137.3,10.59,0.05,112.6,73,8.86,-125.9,28.976,3.11,1.6
2019-07-01 11:05:00,7/1/2019,11:05:00,0,NA,120.2,111.3,139.9,139.5,10.8,0.05,112.1,73,8.91,-128.7,28.778,3.11,1.6
2019-07-01 11:10:00,7/1/2019,11:10:00,0,NA,119.9,110.8,140.3,139.9,10.82,0.05,111.7,73,8.87,-126.6,28.818,3.11,1.6
2019-07-01 11:15:00,7/1/2019,11:15:00,0,NA,120.1,111.1,143.2,142.8,11.05,0.05,112,73,8.97,-132.3,28.796,3.1,1.7
2019-07-01 11:20:00,7/1/2019,11:20:00,0,NA,120.3,111.2,142.4,142,10.98,0.05,112.1,73,8.95,-131,28.835,3.11,1.7
2019-07-01 11:25:00,7/1/2019,11:25:00,0,NA,120.2,111.1,141.8,141.3,10.93,0.05,112,73,8.92,-129.3,28.834,3.11,1.7
2019-07-01 11:30:00,7/1/2019,11:30:00,0,NA,120.5,111.3,141.8,141.3,10.92,0.05,112.2,73,8.93,-129.8,28.88,3.11,1.7
2019-07-01 11:35:00,7/1/2019,11:35:00,0,NA,120.7,111.4,140.2,139.8,10.8,0.05,112.4,73,8.84,-124.5,28.869,3.11,1.7
2019-07-01 11:40:00,7/1/2019,11:40:00,0,NA,121,111.7,140.7,140.3,10.84,0.05,112.6,73,8.91,-128.7,28.907,3.11,1.7
2019-07-01 11:45:00,7/1/2019,11:45:00,0,NA,121.2,111.8,140.7,140.3,10.83,0.05,112.7,73,8.89,-127.4,28.929,3.11,1.7
2019-07-01 11:50:00,7/1/2019,11:50:00,0,NA,121.3,111.8,142.4,142,10.96,0.05,112.8,73,8.95,-131,28.991,3.11,1.7
2019-07-01 11:55:00,7/1/2019,11:55:00,0,NA,121.3,111.8,143,142.6,10.99,0.05,112.7,73,8.97,-132.6,29.004,3.11,1.7
2019-07-01 12:00:00,7/1/2019,12:00:00,0,NA,121.5,111.9,144.4,143.9,11.1,0.05,112.8,73,8.97,-132.1,29.01,3.11,1.7
2019-07-01 12:05:00,7/1/2019,12:05:00,0,NA,121.9,112.2,145.8,145.4,11.21,0.05,113.2,74,9.02,-135.4,29.035,3.11,1.7
2019-07-01 12:10:00,7/1/2019,12:10:00,0,NA,122.2,112.3,147.3,146.8,11.3,0.05,113.3,74,9,-134.2,29.113,3.11,1.7
2019-07-01 12:15:00,7/1/2019,12:15:00,0,NA,121.8,112.1,143.7,143.3,11.05,0.05,113.1,73,8.93,-129.8,29.018,3.11,1.7
2019-07-01 12:20:00,7/1/2019,12:20:00,0,NA,121.9,112.3,145.5,145.1,11.18,0.05,113.2,74,8.97,-132.7,29.028,3.11,1.7
2019-07-01 12:25:00,7/1/2019,12:25:00,0,NA,122.2,112.5,145.8,145.4,11.2,0.05,113.4,74,9,-134.3,29.05,3.11,1.7
2019-07-01 12:30:00,7/1/2019,12:30:00,0,NA,122.2,112.3,152.1,151.7,11.67,0.05,113.3,74,9.12,-141.2,29.112,3.11,1.7
2019-07-01 12:35:00,7/1/2019,12:35:00,0,NA,122.2,112.2,151.7,151.3,11.64,0.05,113.2,74,9.1,-140.3,29.161,3.11,1.7
2019-07-01 12:40:00,7/1/2019,12:40:00,0,NA,122.3,112.4,149.7,149.3,11.49,0.05,113.4,74,9.09,-139.5,29.119,3.11,1.7
2019-07-01 12:45:00,7/1/2019,12:45:00,0,NA,122.5,112.5,152.2,151.7,11.67,0.05,113.5,74,9.1,-140,29.153,3.11,1.7
2019-07-01 12:50:00,7/1/2019,12:50:00,0,NA,122.3,112.4,149.1,148.6,11.44,0.05,113.4,74,9.07,-138.2,29.119,3.11,1.7
2019-07-01 12:55:00,7/1/2019,12:55:00,0,NA,122.4,112.7,153,152.5,11.76,0.05,113.7,74,9.11,-141,29.029,3.11,1.7
2019-07-01 13:00:00,7/1/2019,13:00:00,0,NA,122.4,112.6,154.2,153.7,11.84,0.05,113.6,74,9.16,-143.6,29.067,3.11,1.7
2019-07-01 13:05:00,7/1/2019,13:05:00,0,NA,122.4,112.6,147.8,147.3,11.34,0.05,113.5,74,9.16,-143.9,29.109,3.11,1.7
2019-07-01 13:10:00,7/1/2019,13:10:00,0,NA,122.7,112.6,153.5,153.1,11.77,0.05,113.6,74,9.19,-145.9,29.192,3.11,1.7
2019-07-01 13:15:00,7/1/2019,13:15:00,0,NA,122.3,112.3,151.9,151.4,11.64,0.05,113.3,74,9.2,-146.1,29.18,3.1,1.7
2019-07-01 13:20:00,7/1/2019,13:20:00,0,NA,123.2,112.9,154.3,153.9,11.82,0.05,113.9,74,9.19,-146,29.251,3.11,1.7
2019-07-01 13:25:00,7/1/2019,13:25:00,0,NA,122.9,112.7,155.7,155.2,11.93,0.05,113.7,74,9.16,-144.1,29.203,3.1,1.7
2019-07-01 13:30:00,7/1/2019,13:30:00,0,NA,123.4,113,155.1,154.7,11.87,0.05,114,74,9.17,-144.6,29.291,3.11,1.7
2019-07-01 13:35:00,7/1/2019,13:35:00,0,NA,123.5,113.1,155.5,155,11.89,0.05,114.1,74,9.18,-145.2,29.32,3.1,1.7
2019-07-01 13:40:00,7/1/2019,13:40:00,0,NA,123.6,113.2,156.2,155.7,11.95,0.05,114.3,74,9.19,-145.4,29.258,3.1,1.7
2019-07-01 13:45:00,7/1/2019,13:45:00,0,NA,123.9,113.3,157.1,156.6,12,0.05,114.3,74,9.18,-145.2,29.374,3.1,1.7
2019-07-01 13:50:00,7/1/2019,13:50:00,0,NA,123.7,113.2,157.6,157.1,12.04,0.05,114.2,74,9.2,-146.6,29.345,3.1,1.7
2019-07-01 13:55:00,7/1/2019,13:55:00,0,NA,124,113.3,157.2,156.7,12,0.05,114.4,74,9.2,-146.2,29.398,3.1,1.7
2019-07-01 14:00:00,7/1/2019,14:00:00,0,NA,124,113.2,156.7,156.2,11.96,0.05,114.3,74,9.18,-145.4,29.449,3.1,1.7
2019-07-01 14:05:00,7/1/2019,14:05:00,0,NA,124.3,113.4,157.4,157,12,0.05,114.5,74,9.21,-147,29.518,3.1,1.7
2019-07-01 14:10:00,7/1/2019,14:10:00,0,NA,124.5,113.6,158.6,158.1,12.09,0.05,114.7,75,9.21,-147.1,29.492,3.1,1.7
2019-07-01 14:15:00,7/1/2019,14:15:00,0,NA,124.6,113.5,157.9,157.4,12.03,0.05,114.6,75,9.22,-147.5,29.538,3.1,1.7
2019-07-01 14:20:00,7/1/2019,14:20:00,0,NA,124.4,113.3,158.1,157.7,12.05,0.05,114.4,74,9.21,-147.2,29.545,3.1,1.7
2019-07-01 14:25:00,7/1/2019,14:25:00,0,NA,124.7,113.6,159.9,159.4,12.17,0.05,114.7,75,9.23,-148.5,29.591,3.1,1.7
2019-07-01 14:30:00,7/1/2019,14:30:00,0,NA,124.8,113.6,160.2,159.8,12.19,0.05,114.7,75,9.24,-148.7,29.597,3.1,1.7
