date.time,date,time,fract_sec,site_name,chl_RFU,chl_conc,cond,nLF_cond,perc_ODO,perc_local_ODO,ODO_conc,sal,sp_cond,BGA_PC_RFU,BGA_PC_conc,TDS,pH,pH_mV,temp,battery,cable_pwr
2019-09-11 17:35:00,9/11/2019,17:35:00,0,NA,5.84,23.37,132.1,125.2,124,123,9.78,0.06,125.9,0.15,0.15,82,8.38,-109.4,27.588,3.05,1.6
2019-09-11 17:40:00,9/11/2019,17:40:00,0,NA,6.06,24.23,130.3,123.8,122.5,121.4,9.67,0.06,124.4,0.22,0.22,81,8.39,-109.9,27.482,3.04,1.6
2019-09-11 17:45:00,9/11/2019,17:45:00,0,NA,4.61,18.44,129.9,123.5,123.8,122.7,9.78,0.06,124.1,0.11,0.11,81,8.3,-104.6,27.463,3.05,1.6
2019-09-11 17:50:00,9/11/2019,17:50:00,0,NA,5.83,23.33,129.7,123.2,123.7,122.7,9.77,0.06,123.9,0.18,0.18,81,8.28,-103.5,27.47,3.04,1.6
2019-09-11 17:55:00,9/11/2019,17:55:00,0,NA,4.81,19.25,129.8,123.4,125,124,9.88,0.06,124,0.13,0.13,81,8.38,-109.5,27.444,3.05,1.6
2019-09-11 18:00:00,9/11/2019,18:00:00,0,NA,5.07,20.28,130.4,124.2,124.9,123.8,9.88,0.06,124.8,0.13,0.13,81,8.42,-111.5,27.382,3.05,1.6
2019-09-11 18:05:00,9/11/2019,18:05:00,0,NA,4.92,19.7,130.1,123.8,124.7,123.6,9.86,0.06,124.4,0.13,0.13,81,8.38,-109.4,27.401,3.05,1.6
2019-09-11 18:10:00,9/11/2019,18:10:00,0,NA,5.1,20.39,130,123.6,124.5,123.5,9.84,0.06,124.2,0.12,0.12,81,8.22,-100,27.451,3.05,1.6
2019-09-11 18:15:00,9/11/2019,18:15:00,0,NA,5.03,20.11,131,124.4,124.7,123.7,9.85,0.06,125,0.17,0.17,81,8.16,-96.2,27.481,3.05,1.6
2019-09-11 18:20:00,9/11/2019,18:20:00,0,NA,4.91,19.65,130.8,124.3,124.8,123.7,9.85,0.06,124.9,0.15,0.15,81,8.4,-110.3,27.492,3.05,1.7
2019-09-11 18:25:00,9/11/2019,18:25:00,0,NA,5.16,20.64,131,124.4,124.8,123.7,9.85,0.06,125,0.13,0.13,81,8.38,-109.6,27.489,3.05,1.7
2019-09-11 18:30:00,9/11/2019,18:30:00,0,NA,5.13,20.51,130.8,124.3,125.1,124,9.88,0.06,124.9,0.15,0.15,81,8.47,-114.5,27.479,3.04,1.6
2019-09-11 18:35:00,9/11/2019,18:35:00,0,NA,5.95,23.79,130.8,124.3,124.6,123.6,9.84,0.06,124.9,0.12,0.12,81,8.45,-113.5,27.486,3.05,1.6
2019-09-11 18:40:00,9/11/2019,18:40:00,0,NA,5.28,21.11,131.5,124.8,124.6,123.5,9.83,0.06,125.5,0.15,0.15,82,8.35,-107.4,27.516,3.04,1.7
2019-09-11 18:45:00,9/11/2019,18:45:00,0,NA,5.18,20.72,132,125.2,124.6,123.5,9.83,0.06,125.9,0.14,0.14,82,8.2,-99,27.543,3.05,1.7
2019-09-11 18:50:00,9/11/2019,18:50:00,0,NA,5.26,21.02,131.8,125,124.4,123.4,9.82,0.06,125.6,0.15,0.15,82,8.31,-105.5,27.543,3.05,1.7
2019-09-11 18:55:00,9/11/2019,18:55:00,0,NA,5.39,21.55,131.9,125.1,124.2,123.1,9.8,0.06,125.8,0.14,0.14,82,8.23,-100.8,27.553,3.05,1.7
2019-09-11 19:00:00,9/11/2019,19:00:00,0,NA,5.71,22.84,132.1,125.3,123.9,122.8,9.77,0.06,125.9,0.25,0.25,82,8.25,-102,27.575,3.04,1.7
2019-09-11 19:05:00,9/11/2019,19:05:00,0,NA,5.09,20.37,132.3,125.4,124.2,123.1,9.79,0.06,126,0.17,0.17,82,8.35,-107.7,27.579,3.04,1.7
2019-09-11 19:10:00,9/11/2019,19:10:00,0,NA,5.65,22.61,132.3,125.3,123.9,122.9,9.77,0.06,126,0.15,0.15,82,8.37,-108.8,27.596,3.04,1.7
2019-09-11 19:15:00,9/11/2019,19:15:00,0,NA,4.94,19.77,132.3,125.3,123.7,122.6,9.75,0.06,126,0.14,0.14,82,8.37,-108.9,27.595,3.05,1.7
2019-09-11 19:20:00,9/11/2019,19:20:00,0,NA,5.05,20.18,132.3,125.3,123.7,122.7,9.75,0.06,126,0.13,0.13,82,8.42,-112.1,27.595,3.04,1.7
2019-09-11 19:25:00,9/11/2019,19:25:00,0,NA,5.48,21.9,132.1,125.2,123.8,122.7,9.76,0.06,125.9,0.19,0.19,82,8.39,-110,27.59,3.04,1.7
2019-09-11 19:30:00,9/11/2019,19:30:00,0,NA,5.89,23.56,132.1,125.2,123.6,122.5,9.74,0.06,125.9,0.12,0.12,82,8.45,-113.3,27.581,3.04,1.7
2019-09-11 19:35:00,9/11/2019,19:35:00,0,NA,7.67,30.68,131.8,125,123.3,122.3,9.73,0.06,125.7,0.27,0.27,82,8.39,-109.9,27.541,3.04,1.7
2019-09-11 19:40:00,9/11/2019,19:40:00,0,NA,6.01,24.05,131.4,124.9,123.5,122.4,9.75,0.06,125.5,0.19,0.19,82,8.43,-112.1,27.478,3.04,1.7
2019-09-11 19:45:00,9/11/2019,19:45:00,0,NA,8.88,35.51,132.1,125.1,123.8,122.7,9.75,0.06,125.8,0.31,0.31,82,8.47,-114.6,27.638,3.04,1.7
2019-09-11 19:50:00,9/11/2019,19:50:00,0,NA,7.77,31.1,131,124.5,124.5,123.4,9.83,0.06,125.1,0.28,0.28,81,8.45,-113.7,27.456,3.04,1.7
2019-09-11 19:55:00,9/11/2019,19:55:00,0,NA,5.8,23.19,130.9,124.5,124.3,123.2,9.83,0.06,125.1,0.19,0.19,81,8.48,-115.2,27.399,3.04,1.7
2019-09-11 20:00:00,9/11/2019,20:00:00,0,NA,8.26,33.04,130.7,124.1,123.9,122.9,9.79,0.06,124.8,0.29,0.29,81,8.43,-112.1,27.468,3.04,1.7
2019-09-11 20:05:00,9/11/2019,20:05:00,0,NA,6.3,25.2,130.8,124.3,123.9,122.8,9.79,0.06,124.9,0.23,0.23,81,8.44,-112.7,27.457,3.04,1.7
2019-09-11 20:10:00,9/11/2019,20:10:00,0,NA,6.82,27.28,131,124.3,123.2,122.2,9.73,0.06,125,0.19,0.19,81,8.45,-113.7,27.502,3.04,1.6
2019-09-11 20:15:00,9/11/2019,20:15:00,0,NA,6.17,24.66,131,124.3,123.9,122.8,9.78,0.06,125,0.17,0.17,81,8.42,-111.8,27.511,3.04,1.7
2019-09-11 20:20:00,9/11/2019,20:20:00,0,NA,6.38,25.51,130.9,124.3,124.3,123.3,9.82,0.06,124.9,0.2,0.2,81,8.4,-110.6,27.509,3.04,1.6
2019-09-11 20:25:00,9/11/2019,20:25:00,0,NA,6.99,27.94,131.4,124.7,123.9,122.8,9.77,0.06,125.3,0.23,0.23,81,8.46,-114.4,27.548,3.04,1.6
2019-09-11 20:30:00,9/11/2019,20:30:00,0,NA,5.79,23.16,131.6,124.7,125,123.9,9.85,0.06,125.4,0.22,0.22,82,8.42,-111.6,27.588,3.04,1.7
2019-09-11 20:35:00,9/11/2019,20:35:00,0,NA,6.49,25.96,131.7,124.7,125.6,124.5,9.89,0.06,125.4,0.18,0.18,82,8.45,-113.6,27.633,3.04,1.7
2019-09-11 20:40:00,9/11/2019,20:40:00,0,NA,6.78,27.13,131.7,124.6,126.3,125.3,9.95,0.06,125.3,0.37,0.37,81,8.52,-117.9,27.656,3.04,1.7
2019-09-11 20:45:00,9/11/2019,20:45:00,0,NA,6.02,24.09,131.8,124.7,126.2,125.1,9.93,0.06,125.3,0.2,0.2,81,8.5,-116.4,27.705,3.04,1.7
2019-09-11 20:50:00,9/11/2019,20:50:00,0,NA,5.35,21.4,131.7,124.6,126.1,125,9.93,0.06,125.3,0.18,0.18,81,8.55,-119.4,27.671,3.03,1.7
2019-09-11 20:55:00,9/11/2019,20:55:00,0,NA,5.62,22.48,131.7,124.5,125.8,124.7,9.9,0.06,125.2,0.18,0.18,81,8.51,-117.2,27.693,3.04,1.7
2019-09-11 21:00:00,9/11/2019,21:00:00,0,NA,5.6,22.4,131.7,124.7,125.5,124.4,9.88,0.06,125.4,0.18,0.18,81,8.43,-112.6,27.665,3.03,1.7
2019-09-11 21:05:00,9/11/2019,21:05:00,0,NA,7.29,29.17,131.8,124.8,124.9,123.8,9.83,0.06,125.4,0.23,0.23,82,8.46,-114.4,27.675,3.03,1.7
2019-09-11 21:10:00,9/11/2019,21:10:00,0,NA,5.78,23.1,131.9,125,124.4,123.4,9.81,0.06,125.7,0.17,0.17,82,8.41,-111.2,27.58,3.03,1.7
2019-09-11 21:15:00,9/11/2019,21:15:00,0,NA,5.32,21.29,131.8,125,123.8,122.8,9.77,0.06,125.6,0.24,0.24,82,8.41,-111.2,27.554,3.03,1.7
2019-09-11 21:20:00,9/11/2019,21:20:00,0,NA,8.06,32.25,131.7,124.9,124.1,123,9.79,0.06,125.6,0.23,0.23,82,8.45,-113.3,27.542,3.03,1.7
2019-09-11 21:25:00,9/11/2019,21:25:00,0,NA,6.71,26.84,131.7,125.1,123.9,122.9,9.79,0.06,125.7,0.23,0.23,82,8.47,-114.5,27.494,3.03,1.7
2019-09-11 21:30:00,9/11/2019,21:30:00,0,NA,9.2,36.8,131.8,125.3,124.3,123.3,9.83,0.06,125.9,0.32,0.32,82,8.45,-113.4,27.43,3.03,1.7
2019-09-11 21:35:00,9/11/2019,21:35:00,0,NA,7.57,30.29,131.7,125.1,123.7,122.7,9.78,0.06,125.7,0.26,0.26,82,8.38,-109.6,27.46,3.03,1.7
2019-09-11 21:40:00,9/11/2019,21:40:00,0,NA,6,24.02,131.7,125.1,123.8,122.7,9.78,0.06,125.8,0.18,0.18,82,8.45,-113.5,27.482,3.03,1.7
2019-09-11 21:45:00,9/11/2019,21:45:00,0,NA,7.39,29.57,131.7,125.1,124.1,123,9.8,0.06,125.7,0.25,0.25,82,8.45,-113.3,27.48,3.03,1.7
2019-09-11 21:50:00,9/11/2019,21:50:00,0,NA,8.29,33.16,131.7,125.1,123.9,122.9,9.79,0.06,125.8,0.3,0.3,82,8.43,-112.5,27.474,3.03,1.7
2019-09-11 21:55:00,9/11/2019,21:55:00,0,NA,6.96,27.83,131.8,125.1,123.9,122.9,9.79,0.06,125.8,0.26,0.26,82,8.39,-110.3,27.491,3.03,1.7
2019-09-11 22:00:00,9/11/2019,22:00:00,0,NA,5.49,21.97,131.8,125.2,123.6,122.6,9.76,0.06,125.8,0.21,0.21,82,8.38,-109.6,27.504,3.03,1.7
2019-09-11 22:05:00,9/11/2019,22:05:00,0,NA,6.61,26.43,131.9,125.2,123.1,122,9.72,0.06,125.9,0.26,0.26,82,8.37,-108.6,27.491,3.03,1.7
2019-09-11 22:10:00,9/11/2019,22:10:00,0,NA,5.93,23.72,131.9,125.3,122.8,121.7,9.7,0.06,125.9,0.23,0.23,82,8.38,-109.4,27.494,3.03,1.7
2019-09-11 22:15:00,9/11/2019,22:15:00,0,NA,6.68,26.71,131.9,125.2,122.5,121.5,9.67,0.06,125.9,0.19,0.19,82,8.32,-105.7,27.511,3.03,1.7
2019-09-11 22:20:00,9/11/2019,22:20:00,0,NA,6.76,27.03,132,125.3,123.2,122.2,9.72,0.06,125.9,0.21,0.21,82,8.33,-106.2,27.538,3.03,1.7
2019-09-11 22:25:00,9/11/2019,22:25:00,0,NA,6.97,27.87,132.1,125.3,123.7,122.6,9.76,0.06,126,0.24,0.24,82,8.4,-110.5,27.542,3.03,1.7
2019-09-11 22:30:00,9/11/2019,22:30:00,0,NA,5.3,21.2,132.1,125.3,121.6,120.6,9.6,0.06,126,0.17,0.17,82,8.4,-110.8,27.547,3.03,1.7
2019-09-11 22:35:00,9/11/2019,22:35:00,0,NA,7.07,28.26,132.2,125.3,121.3,120.3,9.57,0.06,126,0.22,0.22,82,8.34,-107.2,27.56,3.03,1.7
2019-09-11 22:40:00,9/11/2019,22:40:00,0,NA,6.19,24.76,132.2,125.4,121.2,120.2,9.56,0.06,126.1,0.25,0.25,82,8.27,-103.2,27.54,3.02,1.7
2019-09-11 22:45:00,9/11/2019,22:45:00,0,NA,7.39,29.57,132.2,125.4,120.7,119.6,9.52,0.06,126,0.35,0.35,82,8.28,-103.4,27.567,3.03,1.7
2019-09-11 22:50:00,9/11/2019,22:50:00,0,NA,5.8,23.21,132.1,125.4,120.4,119.3,9.5,0.06,126,0.13,0.13,82,8.23,-100.7,27.546,3.02,1.7
2019-09-11 22:55:00,9/11/2019,22:55:00,0,NA,6.61,26.42,132.1,125.4,119.9,118.8,9.46,0.06,126,0.18,0.18,82,8.24,-101.1,27.541,3.03,1.7
2019-09-11 23:00:00,9/11/2019,23:00:00,0,NA,6.54,26.16,132.1,125.4,119.6,118.5,9.43,0.06,126,0.24,0.24,82,8.21,-99.6,27.542,3.02,1.7
2019-09-11 23:05:00,9/11/2019,23:05:00,0,NA,6.36,25.42,131.9,125.2,119.1,118.1,9.4,0.06,125.9,0.24,0.24,82,8.2,-98.9,27.516,3.03,1.7
2019-09-11 23:10:00,9/11/2019,23:10:00,0,NA,6.02,24.1,131.9,125.3,118.8,117.8,9.38,0.06,125.9,0.2,0.2,82,8.17,-96.8,27.514,3.02,1.7
2019-09-11 23:15:00,9/11/2019,23:15:00,0,NA,6.59,26.35,132,125.3,118.6,117.6,9.36,0.06,125.9,0.19,0.19,82,8.13,-94.4,27.538,3.02,1.7
2019-09-11 23:20:00,9/11/2019,23:20:00,0,NA,5.87,23.47,132.1,125.3,118.6,117.6,9.36,0.06,126,0.2,0.2,82,8.16,-96.5,27.551,3.02,1.7
2019-09-11 23:25:00,9/11/2019,23:25:00,0,NA,5.84,23.38,132.2,125.3,118.6,117.6,9.35,0.06,126,0.2,0.2,82,8.2,-98.6,27.556,3.02,1.7
2019-09-11 23:30:00,9/11/2019,23:30:00,0,NA,5.79,23.17,132.2,125.4,118.2,117.2,9.33,0.06,126.1,0.23,0.23,82,8.14,-95,27.539,3.02,1.7
2019-09-11 23:35:00,9/11/2019,23:35:00,0,NA,6.35,25.41,132.2,125.4,118.4,117.4,9.35,0.06,126.1,0.18,0.18,82,8.13,-94.4,27.536,3.02,1.7
2019-09-11 23:40:00,9/11/2019,23:40:00,0,NA,6.18,24.73,132.3,125.4,118,117,9.31,0.06,126.1,0.2,0.2,82,8.13,-94.8,27.566,3.02,1.7
