date.time,date,time,fract_sec,site_name,chl_RFU,chl_conc,cond,fdom_QSU,fdom_RFU,nLF_cond,perc_ODO,perc_local_ODO,ODO_conc,sal,sp_cond,BGA_PC_RFU,BGA_PC_conc,TDS,turb_FNU,TSS,temp,battery,cable_pwr
2019-11-20 13:25:00,11/20/2019,13:25:00,0,<site>,0.99,6.46,10.5,31.68,10.9,16,84.5,84.9,10.09,0.01,15.8,-0.51,-0.51,10,2.12,0,7.66,6.11,0
2019-11-20 13:30:00,11/20/2019,13:30:00,0,<site>,0.9,5.98,10.6,31.58,10.87,16.1,84.4,84.8,10.08,0.01,15.8,-0.51,-0.51,10,2.14,0,7.658,6.11,0
2019-11-20 13:35:00,11/20/2019,13:35:00,0,<site>,0.74,5.15,10.6,31.63,10.88,16.1,84.4,84.8,10.08,0.01,15.8,-0.53,-0.53,10,2.03,0,7.649,6.12,0
2019-11-20 13:40:00,11/20/2019,13:40:00,0,<site>,0.79,5.39,10.6,31.55,10.85,16.1,84.4,84.8,10.08,0.01,15.9,-0.53,-0.53,10,1.9,0,7.665,6.11,0
2019-11-20 13:45:00,11/20/2019,13:45:00,0,<site>,1.09,7.06,10.6,31.51,10.84,16.1,84.5,85,10.09,0.01,15.9,-0.51,-0.51,10,2.13,0,7.683,6.12,0
2019-11-20 13:50:00,11/20/2019,13:50:00,0,<site>,1,6.57,10.6,31.49,10.83,16.1,84.7,85.1,10.1,0.01,15.9,-0.49,-0.49,10,1.96,0,7.722,6.11,0
2019-11-20 13:55:00,11/20/2019,13:55:00,0,<site>,0.94,6.23,10.6,31.54,10.85,16.1,84.8,85.2,10.11,0.01,15.8,-0.51,-0.51,10,2.06,0,7.735,6.12,0
2019-11-20 14:00:00,11/20/2019,14:00:00,0,<site>,0.83,5.63,10.6,31.52,10.84,16.1,84.8,85.2,10.11,0.01,15.8,-0.47,-0.47,10,2,0,7.729,6.11,0
2019-11-20 14:05:00,11/20/2019,14:05:00,0,<site>,0.8,5.44,10.6,31.5,10.84,16.1,84.7,85.1,10.1,0.01,15.9,-0.51,-0.51,10,1.9,0,7.713,6.12,0
2019-11-20 14:10:00,11/20/2019,14:10:00,0,<site>,0.73,5.07,10.6,31.54,10.85,16.1,84.7,85.1,10.1,0.01,15.8,-0.53,-0.53,10,1.82,0,7.717,6.11,0
2019-11-20 14:15:00,11/20/2019,14:15:00,0,<site>,0.7,4.93,10.7,31.52,10.84,16.3,84.7,85.1,10.1,0.01,16,-0.54,-0.54,10,1.82,0,7.703,6.11,0
2019-11-20 14:20:00,11/20/2019,14:20:00,0,<site>,0.75,5.18,10.7,31.59,10.87,16.3,84.7,85.1,10.1,0.01,16,-0.52,-0.52,10,2.13,0,7.702,6.1,0
2019-11-20 14:25:00,11/20/2019,14:25:00,0,<site>,0.8,5.43,10.7,31.53,10.85,16.2,84.6,85,10.09,0.01,15.9,-0.52,-0.52,10,2.07,0,7.711,6.11,0
2019-11-20 14:30:00,11/20/2019,14:30:00,0,<site>,0.99,6.49,10.7,31.54,10.85,16.2,84.7,85.1,10.1,0.01,16,-0.51,-0.51,10,2.05,0,7.718,6.1,0
2019-11-20 14:35:00,11/20/2019,14:35:00,0,<site>,0.84,5.68,10.6,31.39,10.8,16.1,84.8,85.2,10.11,0.01,15.9,-0.48,-0.48,10,2.12,0,7.711,6.1,0
2019-11-20 14:40:00,11/20/2019,14:40:00,0,<site>,0.8,5.46,10.6,31.41,10.81,16.2,84.8,85.2,10.11,0.01,15.9,-0.53,-0.53,10,1.79,0,7.705,6.1,0
2019-11-20 14:45:00,11/20/2019,14:45:00,0,<site>,0.76,5.23,10.7,31.43,10.81,16.2,84.8,85.3,10.12,0.01,15.9,-0.52,-0.52,10,2,0,7.7,6.11,0
2019-11-20 14:50:00,11/20/2019,14:50:00,0,<site>,1.1,7.07,10.7,31.44,10.81,16.2,84.8,85.3,10.12,0.01,15.9,-0.49,-0.49,10,1.83,0,7.705,6.1,0
2019-11-20 14:55:00,11/20/2019,14:55:00,0,<site>,1.18,7.52,10.7,31.56,10.86,16.2,84.9,85.3,10.13,0.01,15.9,-0.46,-0.46,10,2.06,0,7.709,6.1,0
2019-11-20 15:00:00,11/20/2019,15:00:00,0,<site>,1.01,6.58,10.6,31.51,10.84,16.1,84.9,85.3,10.12,0.01,15.9,-0.46,-0.46,10,2.09,0,7.717,6.09,0
2019-11-20 15:05:00,11/20/2019,15:05:00,0,<site>,1.14,7.31,10.6,31.25,10.75,16.1,84.9,85.3,10.12,0.01,15.8,-0.46,-0.46,10,1.88,0,7.734,6.1,0
2019-11-20 15:10:00,11/20/2019,15:10:00,0,<site>,0.85,5.72,10.7,31.53,10.85,16.2,85,85.4,10.13,0.01,15.9,-0.5,-0.5,10,1.98,0,7.739,6.09,0
2019-11-20 15:15:00,11/20/2019,15:15:00,0,<site>,0.92,6.08,10.7,31.53,10.85,16.2,85,85.4,10.13,0.01,15.9,-0.53,-0.53,10,1.89,0,7.746,6.1,0
2019-11-20 15:20:00,11/20/2019,15:20:00,0,<site>,0.82,5.57,10.7,31.39,10.8,16.2,85,85.4,10.13,0.01,15.9,-0.5,-0.5,10,1.98,0,7.744,6.09,0
2019-11-20 15:25:00,11/20/2019,15:25:00,0,<site>,0.7,4.92,10.6,31.48,10.83,16.1,84.9,85.4,10.12,0.01,15.8,-0.52,-0.52,10,1.81,0,7.75,6.1,0
