date.time,date,time,fract_sec,site_name,cond,nLF_cond,perc_ODO,perc_local_ODO,ODO_conc,sal,sp_cond,TDS,pH,pH_mV,temp,battery,cable_pwr
2019-05-30 10:05:00,5/30/2019,10:05:00,0,NA,1,1.1,96.4,96.6,8.21,0,1.1,1,6.48,21.9,23.389,2.4,1.7
2019-05-30 10:10:00,5/30/2019,10:10:00,0,NA,1.1,1.1,98.7,99,8.44,0,1.1,1,7.1,-14.2,23.178,2.39,1.6
2019-05-30 10:15:00,5/30/2019,10:15:00,0,NA,118.7,112.5,81.4,81.6,6.42,0.05,113.1,74,7.07,-12.5,27.59,2.4,1.6
2019-05-30 10:20:00,5/30/2019,10:20:00,0,NA,122.5,116.2,75.6,75.8,5.96,0.05,116.8,76,6.99,-7.8,27.58,2.39,1.6
2019-05-30 10:25:00,5/30/2019,10:25:00,0,NA,123.7,117.2,76.2,76.3,6,0.05,117.8,77,6.99,-8.1,27.617,2.4,1.6
2019-05-30 10:30:00,5/30/2019,10:30:00,0,NA,123.3,116.8,78.4,78.5,6.17,0.05,117.4,76,6.99,-8.3,27.626,2.39,1.6
2019-05-30 10:35:00,5/30/2019,10:35:00,0,NA,123.6,117.1,76.6,76.7,6.03,0.05,117.7,77,7,-8.5,27.637,2.4,1.6
2019-05-30 10:40:00,5/30/2019,10:40:00,0,NA,124.6,117.9,76.6,76.8,6.04,0.05,118.6,77,6.99,-8.1,27.643,2.39,1.6
2019-05-30 10:45:00,5/30/2019,10:45:00,0,NA,124.2,117.5,76.7,76.9,6.04,0.05,118.2,77,6.99,-8.1,27.657,2.4,1.6
2019-05-30 10:50:00,5/30/2019,10:50:00,0,NA,123.6,116.9,77.5,77.6,6.1,0.05,117.6,76,6.98,-7.7,27.669,2.39,1.6
2019-05-30 10:55:00,5/30/2019,10:55:00,0,NA,124.6,117.9,79.4,79.6,6.25,0.05,118.6,77,6.99,-7.8,27.66,2.4,1.6
2019-05-30 11:00:00,5/30/2019,11:00:00,0,NA,124.6,117.8,81.4,81.6,6.41,0.05,118.5,77,7,-8.6,27.68,2.39,1.6
2019-05-30 11:05:00,5/30/2019,11:05:00,0,NA,124.9,118.2,82,82.1,6.45,0.05,118.8,77,7.01,-9.4,27.67,2.4,1.7
2019-05-30 11:10:00,5/30/2019,11:10:00,0,NA,123.9,117.2,82.9,83.1,6.53,0.05,117.9,77,7.03,-10.4,27.687,2.39,1.6
2019-05-30 11:15:00,5/30/2019,11:15:00,0,NA,125.1,118.2,83.1,83.3,6.54,0.05,118.9,77,7.04,-10.8,27.726,2.4,1.6
2019-05-30 11:20:00,5/30/2019,11:20:00,0,NA,124.5,117.8,80.8,81,6.36,0.05,118.4,77,7.01,-9.2,27.692,2.39,1.6
2019-05-30 11:25:00,5/30/2019,11:25:00,0,NA,125.2,118.3,79.8,80,6.27,0.05,119,77,7,-8.5,27.739,2.4,1.7
2019-05-30 11:30:00,5/30/2019,11:30:00,0,NA,125.8,118.9,78.1,78.3,6.14,0.05,119.5,78,6.98,-7.3,27.738,2.39,1.7
2019-05-30 11:35:00,5/30/2019,11:35:00,0,NA,125.7,118.6,78.4,78.5,6.16,0.05,119.3,78,6.99,-7.8,27.775,2.4,1.6
2019-05-30 11:40:00,5/30/2019,11:40:00,0,NA,125.2,118.2,80,80.2,6.28,0.05,118.9,77,7,-8.5,27.815,2.39,1.6
2019-05-30 11:45:00,5/30/2019,11:45:00,0,NA,125.3,118.1,79.2,79.4,6.22,0.05,118.8,77,7,-8.4,27.834,2.4,1.6
2019-05-30 11:50:00,5/30/2019,11:50:00,0,NA,125.7,118.4,81.7,81.9,6.41,0.05,119.1,77,6.98,-7.5,27.882,2.39,1.7
2019-05-30 11:55:00,5/30/2019,11:55:00,0,NA,126.2,119,77.9,78.1,6.11,0.05,119.7,78,6.97,-6.8,27.863,2.4,1.7
2019-05-30 12:00:00,5/30/2019,12:00:00,0,NA,126,118.6,77.4,77.6,6.07,0.05,119.3,78,6.97,-6.6,27.927,2.39,1.7
2019-05-30 12:05:00,5/30/2019,12:05:00,0,NA,126.2,118.8,78.8,79,6.18,0.05,119.5,78,6.97,-7.1,27.913,2.4,1.7
2019-05-30 12:10:00,5/30/2019,12:10:00,0,NA,126.1,118.7,78,78.2,6.11,0.05,119.4,78,6.97,-6.7,27.947,2.39,1.7
2019-05-30 12:15:00,5/30/2019,12:15:00,0,NA,126.1,118.7,79,79.2,6.19,0.05,119.5,78,6.98,-7.4,27.921,2.4,1.7
2019-05-30 12:20:00,5/30/2019,12:20:00,0,NA,126.7,119.2,78.6,78.7,6.15,0.06,120,78,6.96,-6.3,27.963,2.39,1.7
2019-05-30 12:25:00,5/30/2019,12:25:00,0,NA,126.9,119.3,76.7,76.9,6,0.06,120,78,6.95,-5.9,28.023,2.4,1.7
2019-05-30 12:30:00,5/30/2019,12:30:00,0,NA,127.1,119.4,77.1,77.3,6.03,0.06,120.2,78,6.95,-5.9,28.017,2.39,1.7
2019-05-30 12:35:00,5/30/2019,12:35:00,0,NA,126.6,118.9,79.3,79.5,6.2,0.05,119.6,78,6.95,-5.8,28.057,2.4,1.7
2019-05-30 12:40:00,5/30/2019,12:40:00,0,NA,126.8,119,77.2,77.4,6.04,0.06,119.8,78,6.96,-6,28.066,2.39,1.7
2019-05-30 12:45:00,5/30/2019,12:45:00,0,NA,127.1,119.3,75.6,75.8,5.91,0.06,120,78,6.96,-6.1,28.1,2.4,1.7
2019-05-30 12:50:00,5/30/2019,12:50:00,0,NA,127.1,119.2,76.3,76.5,5.96,0.06,119.9,78,6.95,-5.6,28.13,2.39,1.7
2019-05-30 12:55:00,5/30/2019,12:55:00,0,NA,127.7,119.6,75.1,75.2,5.86,0.06,120.4,78,6.91,-3.5,28.152,2.4,1.7
2019-05-30 13:00:00,5/30/2019,13:00:00,0,NA,128.3,120.1,75.2,75.4,5.86,0.06,120.9,79,6.92,-4.1,28.206,2.4,1.7
2019-05-30 13:05:00,5/30/2019,13:05:00,0,NA,128,119.9,73.3,73.4,5.72,0.06,120.7,78,6.91,-3.5,28.157,2.4,1.7
2019-05-30 13:10:00,5/30/2019,13:10:00,0,NA,127.6,119.5,72.8,73,5.68,0.06,120.3,78,6.92,-4.1,28.175,2.4,1.7
2019-05-30 13:15:00,5/30/2019,13:15:00,0,NA,128.3,120,72,72.2,5.61,0.06,120.8,79,6.91,-3.1,28.227,2.4,1.7
2019-05-30 13:20:00,5/30/2019,13:20:00,0,NA,128.5,120.2,66.2,66.4,5.16,0.06,121,79,6.84,0.8,28.25,2.39,1.7
2019-05-30 13:25:00,5/30/2019,13:25:00,0,NA,129,120.5,66.7,66.9,5.2,0.06,121.4,79,6.86,-0.1,28.278,2.4,1.7
2019-05-30 13:30:00,5/30/2019,13:30:00,0,NA,128.9,120.5,64.9,65,5.05,0.06,121.3,79,6.84,1.1,28.27,2.39,1.7
2019-05-30 13:35:00,5/30/2019,13:35:00,0,NA,128.9,120.7,64.9,65.1,5.06,0.06,121.5,79,6.85,0.2,28.184,2.4,1.7
2019-05-30 13:40:00,5/30/2019,13:40:00,0,NA,128.7,120.4,64.5,64.6,5.03,0.06,121.2,79,6.84,0.6,28.217,2.39,1.7
2019-05-30 13:45:00,5/30/2019,13:45:00,0,NA,129.1,120.8,65.3,65.5,5.09,0.06,121.7,79,6.84,0.8,28.223,2.4,1.7
2019-05-30 13:50:00,5/30/2019,13:50:00,0,NA,128.5,120.3,68.8,69,5.37,0.06,121.1,79,6.86,-0.5,28.185,2.4,1.7
2019-05-30 13:55:00,5/30/2019,13:55:00,0,NA,128.7,120.2,67.8,68,5.28,0.06,121,79,6.86,-0.5,28.3,2.4,1.7
2019-05-30 14:00:00,5/30/2019,14:00:00,0,NA,129.4,120.8,70,70.2,5.45,0.06,121.7,79,6.88,-1.2,28.308,2.39,1.7
2019-05-30 14:05:00,5/30/2019,14:05:00,0,NA,128.7,120.2,69,69.2,5.37,0.06,121.1,79,6.88,-1.5,28.3,2.4,1.7
2019-05-30 14:10:00,5/30/2019,14:10:00,0,NA,129.2,120.7,69.3,69.5,5.4,0.06,121.5,79,6.89,-2.1,28.325,2.4,1.7
2019-05-30 14:15:00,5/30/2019,14:15:00,0,NA,129.4,120.6,70.6,70.7,5.48,0.06,121.5,79,6.89,-1.8,28.429,2.4,1.7
2019-05-30 14:20:00,5/30/2019,14:20:00,0,NA,129,120.1,70.9,71,5.5,0.06,121,79,6.89,-2.2,28.476,2.39,1.7
2019-05-30 14:25:00,5/30/2019,14:25:00,0,NA,129.5,120.5,71.9,72,5.58,0.06,121.4,79,6.88,-1.7,28.494,2.4,1.7
2019-05-30 14:30:00,5/30/2019,14:30:00,0,NA,129.2,120.2,68.5,68.7,5.31,0.06,121,79,6.87,-1.1,28.532,2.4,1.7
