date, time, fract_sec, site_name, chl_RFU, chl_conc, cond, nLF_cond, perc_ODO, perc_local_ODO, ODO_conc, sal, sp_cond, BGA_PC_RFU, BGA_PC_conc, TDS, pH, pH_mV, temp, battery, cable_pwr
9/11/2019,13:50:00,0.0,,0.26,1.05,13.9,14.9,100.7,99.8,8.82,0.01,14.8,0.89,0.89,10,4.47,119.0,21.893,3.04,1.7
9/11/2019,13:55:00,0.0,,0.29,1.16,12.4,13.1,99.8,98.9,8.69,0.00,13.1,0.90,0.90,8,4.49,117.7,22.177,3.06,1.7
9/11/2019,14:00:00,0.0,,0.26,1.05,11.6,12.3,99.1,98.3,8.61,0.00,12.3,0.90,0.90,8,4.56,114.0,22.345,3.06,1.6
9/11/2019,14:05:00,0.0,,0.28,1.12,11.0,11.6,98.8,98.0,8.57,0.00,11.6,0.90,0.90,8,4.62,110.3,22.448,3.06,1.6
9/11/2019,14:10:00,0.0,,0.28,1.12,10.7,11.3,98.6,97.8,8.53,0.00,11.3,0.95,0.95,7,4.65,108.4,22.573,3.06,1.6
9/11/2019,14:15:00,0.0,,0.26,1.02,10.5,11.0,98.4,97.6,8.49,0.00,11.0,0.95,0.95,7,4.69,106.1,22.692,3.07,1.6
9/11/2019,14:20:00,0.0,,0.28,1.12,10.3,10.8,98.3,97.5,8.47,0.00,10.7,0.86,0.86,7,4.75,103.0,22.755,3.06,1.6
9/11/2019,14:25:00,0.0,,0.27,1.10,10.1,10.5,98.2,97.4,8.46,0.00,10.5,0.96,0.96,7,4.81,99.7,22.779,3.07,1.6
9/11/2019,14:30:00,0.0,,0.29,1.15,9.9,10.4,98.2,97.4,8.46,0.00,10.4,0.92,0.92,7,4.85,96.9,22.786,3.06,1.6
9/11/2019,14:35:00,0.0,,0.28,1.11,9.7,10.2,98.2,97.3,8.46,0.00,10.2,0.92,0.92,7,4.90,94.2,22.783,3.07,1.6
9/11/2019,14:40:00,0.0,,0.27,1.08,9.6,10.1,98.2,97.3,8.46,0.00,10.0,0.95,0.95,7,4.94,91.7,22.777,3.07,1.6
9/11/2019,14:45:00,0.0,,0.27,1.06,9.5,9.9,98.1,97.3,8.46,0.00,9.9,0.94,0.94,6,4.98,89.3,22.769,3.07,1.6
9/11/2019,14:50:00,0.0,,0.29,1.16,9.3,9.8,98.1,97.3,8.46,0.00,9.8,0.95,0.95,6,5.02,87.2,22.760,3.06,1.6
9/11/2019,14:55:00,0.0,,0.30,1.22,9.2,9.7,98.1,97.2,8.45,0.00,9.6,0.92,0.92,6,5.06,85.1,22.752,3.07,1.6
9/11/2019,15:00:00,0.0,,0.27,1.10,9.1,9.6,98.1,97.2,8.46,0.00,9.5,0.94,0.94,6,5.09,83.1,22.744,3.06,1.6
9/11/2019,15:05:00,0.0,,0.26,1.06,9.0,9.5,98.0,97.2,8.45,0.00,9.4,0.97,0.97,6,5.12,81.2,22.739,3.07,1.6
9/11/2019,15:10:00,0.0,,0.28,1.11,8.9,9.4,98.0,97.2,8.45,0.00,9.3,0.93,0.93,6,5.15,79.4,22.742,3.06,1.6
9/11/2019,15:15:00,0.0,,0.28,1.14,8.9,9.3,98.0,97.2,8.45,0.00,9.3,0.92,0.92,6,5.19,77.6,22.743,3.07,1.6
9/11/2019,15:20:00,0.0,,0.25,0.99,8.8,9.2,98.0,97.2,8.45,0.00,9.2,0.91,0.91,6,5.22,75.9,22.744,3.06,1.6
9/11/2019,15:25:00,0.0,,0.26,1.04,8.7,9.2,97.9,97.1,8.44,0.00,9.1,0.96,0.96,6,5.24,74.2,22.747,3.07,1.6
9/11/2019,15:30:00,0.0,,0.26,1.05,8.7,9.1,97.9,97.1,8.44,0.00,9.0,0.97,0.97,6,5.27,72.6,22.752,3.06,1.6
9/11/2019,15:35:00,0.0,,0.27,1.10,8.6,9.0,97.9,97.0,8.44,0.00,9.0,0.93,0.93,6,5.30,70.9,22.757,3.06,1.6
9/11/2019,15:40:00,0.0,,0.28,1.12,8.5,8.9,97.9,97.1,8.44,0.00,8.9,0.95,0.95,6,5.33,69.2,22.761,3.06,1.6
9/11/2019,15:45:00,0.0,,0.29,1.17,8.5,8.9,97.9,97.0,8.43,0.00,8.9,0.97,0.97,6,5.36,67.5,22.760,3.07,1.6
9/11/2019,15:50:00,0.0,,0.27,1.08,8.4,8.8,97.9,97.0,8.43,0.00,8.8,0.95,0.95,6,5.39,65.9,22.757,3.06,1.6
