date.time,date,time,fract_sec,site_name,chl_RFU,chl_conc,cond,nLF_cond,perc_ODO,perc_local_ODO,ODO_conc,sal,sp_cond,BGA_PC_RFU,BGA_PC_conc,TDS,pH,pH_mV,temp,battery,cable_pwr
2019-10-16 17:00:00,10/16/2019,17:00:00,0,NA,4.92,13.91,115.7,133.2,67.6,67.6,6.31,0.06,131.8,0.27,0.27,86,6.47,-0.9,18.627,2.98,1.5
2019-10-16 17:05:00,10/16/2019,17:05:00,0,NA,4.05,11.44,114.5,131.9,65.7,65.7,6.14,0.06,130.5,0.24,0.24,85,6.64,-10.7,18.605,2.98,1.5
2019-10-16 17:10:00,10/16/2019,17:10:00,0,NA,3.71,10.44,113.9,131.1,65.4,65.4,6.11,0.06,129.7,0.16,0.16,84,6.7,-13.8,18.615,2.98,1.5
2019-10-16 17:15:00,10/16/2019,17:15:00,0,NA,5.24,14.86,114.6,132,65.6,65.6,6.14,0.06,130.6,0.31,0.31,85,6.72,-15.2,18.603,2.98,1.5
2019-10-16 17:20:00,10/16/2019,17:20:00,0,NA,5.13,14.53,115.8,133.4,65.5,65.5,6.12,0.06,132,0.23,0.23,86,6.73,-16.1,18.603,2.98,1.5
2019-10-16 17:25:00,10/16/2019,17:25:00,0,NA,5.71,16.2,116.6,134.2,65.3,65.3,6.1,0.06,132.8,0.33,0.33,86,6.74,-16.6,18.612,2.98,1.5
2019-10-16 17:30:00,10/16/2019,17:30:00,0,NA,5.93,16.83,116.3,133.9,65.4,65.4,6.11,0.06,132.4,0.23,0.23,86,6.75,-17.1,18.607,2.98,1.5
2019-10-16 17:35:00,10/16/2019,17:35:00,0,NA,6.38,18.12,116.6,134.2,65.5,65.5,6.12,0.06,132.7,0.25,0.25,86,6.76,-17.5,18.619,2.98,1.5
2019-10-16 17:40:00,10/16/2019,17:40:00,0,NA,4.64,13.11,116.9,134.6,65.6,65.6,6.13,0.06,133.2,0.22,0.22,87,6.76,-17.8,18.617,2.98,1.5
2019-10-16 17:45:00,10/16/2019,17:45:00,0,NA,3.92,11.04,116.7,134.4,65.2,65.2,6.09,0.06,132.9,0.18,0.18,86,6.77,-18.1,18.614,2.98,1.5
2019-10-16 17:50:00,10/16/2019,17:50:00,0,NA,4.7,13.3,116.9,134.6,65.7,65.7,6.14,0.06,133.1,0.19,0.19,87,6.77,-18.3,18.609,2.98,1.5
2019-10-16 17:55:00,10/16/2019,17:55:00,0,NA,5.61,15.9,117.6,135.4,65.3,65.3,6.1,0.06,134,0.28,0.28,87,6.77,-18.1,18.592,2.98,1.5
2019-10-16 18:00:00,10/16/2019,18:00:00,0,NA,5.97,16.94,117.7,135.6,65.6,65.6,6.13,0.06,134.1,0.27,0.27,87,6.77,-18.4,18.605,2.97,1.5
2019-10-16 18:05:00,10/16/2019,18:05:00,0,NA,5.18,14.66,117.9,135.7,65.4,65.4,6.11,0.06,134.3,0.27,0.27,87,6.78,-18.7,18.604,2.98,1.5
2019-10-16 18:10:00,10/16/2019,18:10:00,0,NA,6.99,19.88,118,135.9,66.2,66.2,6.19,0.06,134.4,0.28,0.28,87,6.78,-19,18.591,2.97,1.5
2019-10-16 18:15:00,10/16/2019,18:15:00,0,NA,5.23,14.82,117.9,135.9,65.7,65.7,6.15,0.06,134.4,0.3,0.3,87,6.79,-19.1,18.585,2.98,1.5
2019-10-16 18:20:00,10/16/2019,18:20:00,0,NA,5.9,16.73,117.9,135.8,65.7,65.7,6.14,0.06,134.4,0.28,0.28,87,6.79,-19.4,18.574,2.97,1.5
2019-10-16 18:25:00,10/16/2019,18:25:00,0,NA,5.02,14.2,117.9,135.9,65.6,65.6,6.13,0.06,134.4,0.27,0.27,87,6.79,-19.3,18.563,2.98,1.5
2019-10-16 18:30:00,10/16/2019,18:30:00,0,NA,4.18,11.79,118,136,65.3,65.3,6.11,0.06,134.5,0.17,0.17,87,6.79,-19.2,18.563,2.97,1.5
2019-10-16 18:35:00,10/16/2019,18:35:00,0,NA,5.53,15.67,118,136.1,65,65,6.09,0.06,134.6,0.29,0.29,88,6.78,-18.8,18.554,2.98,1.5
2019-10-16 18:40:00,10/16/2019,18:40:00,0,NA,6.15,17.47,118,136.1,64,64,5.99,0.06,134.6,0.29,0.29,87,6.78,-18.9,18.543,2.97,1.5
2019-10-16 18:45:00,10/16/2019,18:45:00,0,NA,5.28,14.97,118,136.1,64.3,64.3,6.02,0.06,134.6,0.31,0.31,87,6.78,-18.9,18.533,2.98,1.5
2019-10-16 18:50:00,10/16/2019,18:50:00,0,NA,7.17,20.39,117.8,136,63.2,63.2,5.92,0.06,134.5,0.3,0.3,87,6.78,-18.8,18.506,2.97,1.5
2019-10-16 18:55:00,10/16/2019,18:55:00,0,NA,6.54,18.58,117.9,136,63.4,63.4,5.94,0.06,134.6,0.28,0.28,87,6.78,-18.9,18.506,2.98,1.5
2019-10-16 19:00:00,10/16/2019,19:00:00,0,NA,5.26,14.89,117.9,136.1,63.8,63.8,5.97,0.06,134.6,0.26,0.26,87,6.78,-18.9,18.515,2.97,1.5
2019-10-16 19:05:00,10/16/2019,19:05:00,0,NA,5.76,16.33,117.9,136.1,63.6,63.6,5.95,0.06,134.6,0.3,0.3,88,6.78,-19,18.501,2.98,1.5
2019-10-16 19:10:00,10/16/2019,19:10:00,0,NA,5.01,14.18,117.8,136.1,63.2,63.2,5.93,0.06,134.6,0.27,0.27,87,6.79,-19.1,18.476,2.97,1.5
2019-10-16 19:15:00,10/16/2019,19:15:00,0,NA,5.33,15.1,117.9,136.1,63.8,63.8,5.98,0.06,134.6,0.29,0.29,87,6.78,-19,18.491,2.98,1.5
2019-10-16 19:20:00,10/16/2019,19:20:00,0,NA,5.44,15.43,117.9,136.1,63.5,63.5,5.95,0.06,134.6,0.28,0.28,88,6.79,-19.1,18.488,2.97,1.5
2019-10-16 19:25:00,10/16/2019,19:25:00,0,NA,5.67,16.08,117.9,136.2,63.7,63.7,5.97,0.06,134.7,0.28,0.28,88,6.79,-19.1,18.467,2.98,1.5
2019-10-16 19:30:00,10/16/2019,19:30:00,0,NA,5.35,15.15,117.8,136.2,63.5,63.5,5.96,0.06,134.7,0.29,0.29,88,6.79,-19.2,18.454,2.97,1.5
2019-10-16 19:35:00,10/16/2019,19:35:00,0,NA,4.17,11.77,117.7,136.1,63.4,63.4,5.95,0.06,134.6,0.29,0.29,87,6.79,-19.3,18.447,2.98,1.5
2019-10-16 19:40:00,10/16/2019,19:40:00,0,NA,4.89,13.84,117.7,136.1,63.3,63.3,5.94,0.06,134.6,0.19,0.19,87,6.79,-19.3,18.457,2.97,1.5
2019-10-16 19:45:00,10/16/2019,19:45:00,0,NA,5.54,15.72,117.7,136.1,63.2,63.2,5.93,0.06,134.6,0.34,0.34,87,6.79,-19.2,18.443,2.98,1.5
2019-10-16 19:50:00,10/16/2019,19:50:00,0,NA,4.32,12.19,117.7,136.1,63,63,5.91,0.06,134.6,0.19,0.19,87,6.79,-19.4,18.435,2.97,1.5
2019-10-16 19:55:00,10/16/2019,19:55:00,0,NA,4.91,13.89,117.6,136,62.7,62.7,5.89,0.06,134.5,0.25,0.25,87,6.79,-19.4,18.403,2.98,1.5
2019-10-16 20:00:00,10/16/2019,20:00:00,0,NA,4.31,12.18,117.5,135.9,62.9,62.9,5.9,0.06,134.4,0.19,0.19,87,6.79,-19.3,18.423,2.97,1.5
2019-10-16 20:05:00,10/16/2019,20:05:00,0,NA,4.81,13.6,117.6,136,63.1,63.1,5.92,0.06,134.5,0.21,0.21,87,6.79,-19.5,18.426,2.97,1.5
2019-10-16 20:10:00,10/16/2019,20:10:00,0,NA,5.55,15.73,117.6,136,63.3,63.3,5.94,0.06,134.5,0.26,0.26,87,6.79,-19.5,18.424,2.97,1.5
2019-10-16 20:15:00,10/16/2019,20:15:00,0,NA,4.16,11.73,117.5,135.9,63.1,63.1,5.92,0.06,134.4,0.21,0.21,87,6.8,-19.8,18.415,2.97,1.5
2019-10-16 20:20:00,10/16/2019,20:20:00,0,NA,5.07,14.35,117.3,135.8,63.1,63.1,5.92,0.06,134.2,0.27,0.27,87,6.8,-19.8,18.407,2.97,1.5
2019-10-16 20:25:00,10/16/2019,20:25:00,0,NA,5.48,15.54,117.4,135.9,63.2,63.2,5.93,0.06,134.4,0.24,0.24,87,6.8,-19.6,18.392,2.97,1.5
2019-10-16 20:30:00,10/16/2019,20:30:00,0,NA,4.57,12.92,117.3,135.8,62.9,62.9,5.91,0.06,134.3,0.27,0.27,87,6.8,-19.7,18.387,2.97,1.5
2019-10-16 20:35:00,10/16/2019,20:35:00,0,NA,5.08,14.37,117.3,135.8,62.7,62.7,5.89,0.06,134.3,0.21,0.21,87,6.8,-19.8,18.378,2.97,1.5
2019-10-16 20:40:00,10/16/2019,20:40:00,0,NA,6.86,19.5,117.2,135.8,62.6,62.6,5.88,0.06,134.3,0.31,0.31,87,6.8,-19.9,18.336,2.97,1.5
2019-10-16 20:45:00,10/16/2019,20:45:00,0,NA,5.62,15.93,117.2,135.7,63.2,63.2,5.94,0.06,134.2,0.29,0.29,87,6.8,-19.9,18.368,2.97,1.5
2019-10-16 20:50:00,10/16/2019,20:50:00,0,NA,5.33,15.1,117.2,135.7,63,63,5.92,0.06,134.2,0.3,0.3,87,6.8,-19.9,18.366,2.97,1.5
2019-10-16 20:55:00,10/16/2019,20:55:00,0,NA,4.36,12.32,117.1,135.7,62.7,62.7,5.89,0.06,134.1,0.24,0.24,87,6.8,-20,18.362,2.97,1.5
2019-10-16 21:00:00,10/16/2019,21:00:00,0,NA,5.17,14.64,117.2,135.7,62.5,62.5,5.87,0.06,134.2,0.24,0.24,87,6.8,-19.9,18.354,2.96,1.5
2019-10-16 21:05:00,10/16/2019,21:05:00,0,NA,5.14,14.55,117.1,135.7,62.7,62.7,5.89,0.06,134.2,0.2,0.2,87,6.8,-19.8,18.345,2.97,1.5
2019-10-16 21:10:00,10/16/2019,21:10:00,0,NA,4.44,12.53,117.1,135.7,62.2,62.2,5.85,0.06,134.1,0.21,0.21,87,6.8,-20.1,18.339,2.96,1.5
2019-10-16 21:15:00,10/16/2019,21:15:00,0,NA,5.72,16.23,117,135.6,62.6,62.6,5.88,0.06,134.1,0.25,0.25,87,6.8,-20,18.341,2.97,1.5
2019-10-16 21:20:00,10/16/2019,21:20:00,0,NA,4.88,13.8,117,135.5,62.7,62.7,5.9,0.06,134,0.24,0.24,87,6.8,-20.1,18.335,2.96,1.5
2019-10-16 21:25:00,10/16/2019,21:25:00,0,NA,5.43,15.39,116.9,135.5,62.8,62.8,5.9,0.06,134,0.33,0.33,87,6.8,-19.8,18.331,2.97,1.5
2019-10-16 21:30:00,10/16/2019,21:30:00,0,NA,5.3,15.02,116.8,135.5,62.2,62.2,5.85,0.06,134,0.3,0.3,87,6.8,-20.1,18.314,2.96,1.5
2019-10-16 21:35:00,10/16/2019,21:35:00,0,NA,3.17,8.9,116.8,135.4,62.3,62.3,5.86,0.06,133.9,0.16,0.16,87,6.8,-19.8,18.316,2.97,1.5
2019-10-16 21:40:00,10/16/2019,21:40:00,0,NA,4.71,13.33,116.7,135.3,62,62,5.83,0.06,133.8,0.24,0.24,87,6.79,-19.5,18.312,2.96,1.5
2019-10-16 21:45:00,10/16/2019,21:45:00,0,NA,4.98,14.09,116.6,135.2,62.2,62.2,5.85,0.06,133.7,0.19,0.19,87,6.8,-19.7,18.305,2.97,1.5
2019-10-16 21:50:00,10/16/2019,21:50:00,0,NA,4.78,13.51,116.5,135.1,61.9,61.9,5.83,0.06,133.6,0.27,0.27,87,6.79,-19.5,18.287,2.96,1.5
2019-10-16 21:55:00,10/16/2019,21:55:00,0,NA,4.99,14.11,116.4,135.2,61.7,61.7,5.81,0.06,133.6,0.3,0.3,87,6.79,-19.3,18.253,2.97,1.5
2019-10-16 22:00:00,10/16/2019,22:00:00,0,NA,3.67,10.34,116.3,135,61.5,61.5,5.79,0.06,133.5,0.18,0.18,87,6.79,-19.3,18.271,2.96,1.5
2019-10-16 22:05:00,10/16/2019,22:05:00,0,NA,5.92,16.8,116.3,135,62.1,62.1,5.84,0.06,133.5,0.27,0.27,87,6.79,-19.4,18.279,2.97,1.5
2019-10-16 22:10:00,10/16/2019,22:10:00,0,NA,4.02,11.32,116.3,135,62.4,62.4,5.87,0.06,133.5,0.22,0.22,87,6.79,-19.6,18.272,2.96,1.5
2019-10-16 22:15:00,10/16/2019,22:15:00,0,NA,5.25,14.87,116.4,135.1,61.9,61.9,5.82,0.06,133.5,0.26,0.26,87,6.79,-19.6,18.273,2.97,1.5
2019-10-16 22:20:00,10/16/2019,22:20:00,0,NA,5.68,16.12,116.4,135.1,62.1,62.1,5.85,0.06,133.6,0.28,0.28,87,6.79,-19.6,18.27,2.96,1.5
2019-10-16 22:25:00,10/16/2019,22:25:00,0,NA,5.42,15.36,116.2,134.9,62.3,62.3,5.86,0.06,133.4,0.22,0.22,87,6.79,-19.4,18.264,2.97,1.5
2019-10-16 22:30:00,10/16/2019,22:30:00,0,NA,5.23,14.82,116.1,134.8,62.1,62.1,5.85,0.06,133.3,0.28,0.28,87,6.79,-19.4,18.247,2.96,1.5
2019-10-16 22:35:00,10/16/2019,22:35:00,0,NA,5.78,16.4,116,134.8,62.2,62.2,5.86,0.06,133.2,0.31,0.31,87,6.8,-19.7,18.244,2.97,1.5
2019-10-16 22:40:00,10/16/2019,22:40:00,0,NA,5.22,14.79,116.2,134.9,62.1,62.1,5.85,0.06,133.4,0.38,0.38,87,6.79,-19.4,18.239,2.96,1.5
2019-10-16 22:45:00,10/16/2019,22:45:00,0,NA,5,14.14,116.1,134.9,61.6,61.6,5.8,0.06,133.3,0.3,0.3,87,6.8,-19.7,18.233,2.96,1.5
2019-10-16 22:50:00,10/16/2019,22:50:00,0,NA,5.31,15.06,116.1,134.9,61.8,61.8,5.83,0.06,133.4,0.26,0.26,87,6.79,-19.6,18.2,2.96,1.5
2019-10-16 22:55:00,10/16/2019,22:55:00,0,NA,4.62,13.06,116,134.9,61.4,61.4,5.79,0.06,133.3,0.29,0.29,87,6.79,-19.5,18.207,2.96,1.5
2019-10-16 23:00:00,10/16/2019,23:00:00,0,NA,5.18,14.68,116,134.8,61.4,61.4,5.79,0.06,133.3,0.24,0.24,87,6.79,-19.6,18.204,2.96,1.5
2019-10-16 23:05:00,10/16/2019,23:05:00,0,NA,4.94,13.98,116,134.9,61.2,61.2,5.77,0.06,133.4,0.25,0.25,87,6.8,-19.6,18.194,2.96,1.5
2019-10-16 23:10:00,10/16/2019,23:10:00,0,NA,5.38,15.25,116,134.9,61.5,61.5,5.8,0.06,133.4,0.35,0.35,87,6.79,-19.4,18.196,2.96,1.5
2019-10-16 23:15:00,10/16/2019,23:15:00,0,NA,4.39,12.4,116.1,135,61.4,61.4,5.79,0.06,133.5,0.24,0.24,87,6.79,-19.5,18.188,2.96,1.5
2019-10-16 23:20:00,10/16/2019,23:20:00,0,NA,5.2,14.72,116,134.8,61.8,61.8,5.82,0.06,133.3,0.24,0.24,87,6.79,-19.5,18.187,2.96,1.5
2019-10-16 23:25:00,10/16/2019,23:25:00,0,NA,5.3,15.03,115.9,134.8,61.3,61.3,5.78,0.06,133.3,0.29,0.29,87,6.79,-19.5,18.179,2.96,1.5
