date, time, fract_sec, site_name, cond, nLF cond, perc_ODO, perc_local_ODO, ODO_conc, sal, sp_cond, TDS, pH, pH_mV, temp, battery, cable_pwr
3/28/2019,13:15:00,0.0,,0.0,0.0,118.4,118.4,10.71,0.00,0.0,0,6.42,28.4,20.279,3.05,1.6
3/28/2019,13:20:00,0.0,,-0.1,-0.2,114.5,114.5,10.37,0.00,-0.2,0,6.81,5.7,20.227,3.06,1.6
3/28/2019,13:25:00,0.0,,-0.1,-0.2,116.8,116.8,10.44,0.00,-0.2,0,6.99,-4.9,20.893,3.07,1.6
3/28/2019,13:30:00,0.0,,0.0,0.0,114.2,114.2,10.14,0.00,0.0,0,5.91,57.9,21.217,3.07,1.6
3/28/2019,13:35:00,0.0,,0.0,0.0,115.6,115.6,10.21,0.00,0.0,0,5.92,57.2,21.498,3.07,1.6
3/28/2019,13:40:00,0.0,,-0.1,-0.1,116.2,116.2,10.20,0.00,-0.1,0,5.93,57.1,21.785,3.07,1.6
3/28/2019,13:45:00,0.0,,0.0,0.0,116.1,116.1,10.10,0.00,0.0,0,5.92,57.8,22.287,3.07,1.6
3/28/2019,13:50:00,0.0,,0.1,0.1,116.8,116.8,10.10,0.00,0.1,0,5.42,87.0,22.599,3.07,1.6
3/28/2019,13:55:00,0.0,,0.1,0.1,114.5,114.5,9.61,0.00,0.1,0,5.48,83.8,24.165,3.07,1.6
3/28/2019,14:00:00,0.0,,0.1,0.1,112.8,112.8,9.19,0.00,0.1,0,5.50,83.4,25.783,3.07,1.6
3/28/2019,14:05:00,0.0,,0.1,0.1,112.0,112.0,9.02,0.00,0.1,0,5.42,88.2,26.463,3.07,1.6
3/28/2019,14:10:00,0.0,,0.2,0.2,112.5,112.5,9.20,0.00,0.2,0,5.37,90.7,25.565,3.07,1.6
3/28/2019,14:15:00,0.0,,0.6,0.7,114.6,114.6,10.26,0.00,0.7,0,4.94,113.9,20.753,3.06,1.6
3/28/2019,14:20:00,0.0,,89.0,119.5,117.9,117.9,12.61,0.06,117.5,76,7.00,-5.3,12.308,3.07,1.6
3/28/2019,14:25:00,0.0,,87.6,118.3,117.1,117.1,12.59,0.05,116.3,76,6.96,-3.0,12.073,3.07,1.6
3/28/2019,14:30:00,0.0,,87.5,118.5,117.2,117.2,12.64,0.05,116.5,76,6.99,-4.7,11.984,3.07,1.5
3/28/2019,14:35:00,0.0,,87.8,118.3,117.3,117.3,12.59,0.05,116.3,76,6.99,-4.9,12.176,3.07,1.4
3/28/2019,14:40:00,0.0,,87.8,118.5,117.5,117.5,12.64,0.05,116.5,76,7.00,-5.4,12.069,3.07,1.4
3/28/2019,14:45:00,0.0,,87.8,118.5,118.0,118.0,12.68,0.05,116.4,76,7.01,-6.0,12.135,3.07,1.4
3/28/2019,14:50:00,0.0,,87.6,118.3,117.3,117.3,12.62,0.05,116.3,76,7.01,-6.0,12.068,3.07,1.3
3/28/2019,14:55:00,0.0,,88.0,118.4,117.8,117.8,12.63,0.05,116.4,76,7.02,-6.2,12.222,3.07,1.3
3/28/2019,15:00:00,0.0,,88.0,118.7,118.1,118.1,12.69,0.05,116.7,76,7.02,-6.4,12.110,3.07,1.3
3/28/2019,15:05:00,0.0,,88.1,118.3,117.8,117.8,12.60,0.05,116.3,76,7.02,-6.2,12.302,3.07,1.3
3/28/2019,15:10:00,0.0,,87.9,118.3,117.9,117.9,12.64,0.05,116.3,76,7.02,-6.5,12.208,3.07,1.3
3/28/2019,15:15:00,0.0,,88.0,118.4,118.1,118.1,12.66,0.05,116.4,76,7.02,-6.5,12.214,3.07,1.3
3/28/2019,15:20:00,0.0,,87.9,118.3,117.9,117.9,12.64,0.05,116.3,76,7.02,-6.7,12.224,3.07,1.3
3/28/2019,15:25:00,0.0,,88.2,118.3,118.2,118.2,12.63,0.05,116.3,76,7.03,-6.7,12.353,3.07,1.3
3/28/2019,15:30:00,0.0,,88.2,118.6,117.7,117.7,12.62,0.05,116.6,76,7.02,-6.6,12.219,3.07,1.3
3/28/2019,15:35:00,0.0,,88.4,118.4,118.1,118.1,12.61,0.05,116.4,76,7.03,-6.8,12.395,3.07,1.3
3/28/2019,15:40:00,0.0,,88.5,118.8,118.7,118.7,12.70,0.05,116.8,76,7.03,-7.1,12.305,3.07,1.3
3/28/2019,15:45:00,0.0,,88.4,118.5,118.7,118.7,12.68,0.05,116.5,76,7.03,-7.1,12.381,3.07,1.3
3/28/2019,15:50:00,0.0,,88.5,118.2,118.8,118.8,12.65,0.05,116.2,76,7.04,-7.3,12.521,3.07,1.3
3/28/2019,15:55:00,0.0,,88.7,118.5,119.1,119.1,12.69,0.05,116.5,76,7.04,-7.4,12.502,3.07,1.3
3/28/2019,16:00:00,0.0,,88.9,118.4,119.3,119.3,12.68,0.05,116.4,76,7.04,-7.5,12.613,3.07,1.3
3/28/2019,16:05:00,0.0,,88.5,118.3,118.8,118.8,12.65,0.05,116.3,76,7.04,-7.3,12.491,3.06,1.3
3/28/2019,16:10:00,0.0,,88.7,118.8,118.7,118.7,12.68,0.05,116.8,76,7.03,-7.1,12.393,3.07,1.3
3/28/2019,16:15:00,0.0,,88.7,118.4,118.7,118.7,12.64,0.05,116.5,76,7.03,-7.2,12.500,3.07,1.3
3/28/2019,16:20:00,0.0,,88.7,118.4,119.1,119.1,12.68,0.05,116.5,76,7.03,-7.0,12.539,3.07,1.3
3/28/2019,16:25:00,0.0,,88.4,118.2,119.0,119.0,12.68,0.05,116.2,76,7.04,-7.3,12.474,3.06,1.3
3/28/2019,16:30:00,0.0,,88.9,118.9,119.2,119.2,12.71,0.05,116.9,76,7.04,-7.6,12.460,3.07,1.3
3/28/2019,16:35:00,0.0,,88.4,118.6,118.7,118.7,12.69,0.05,116.6,76,7.04,-7.4,12.353,3.06,1.3
3/28/2019,16:40:00,0.0,,88.4,118.4,118.9,118.9,12.69,0.05,116.4,76,7.04,-7.6,12.410,3.07,1.3
3/28/2019,16:45:00,0.0,,88.5,118.7,118.5,118.5,12.66,0.05,116.7,76,7.04,-7.7,12.380,3.06,1.3
3/28/2019,16:50:00,0.0,,88.4,118.4,118.6,118.6,12.66,0.05,116.5,76,7.04,-7.6,12.405,3.06,1.3
3/28/2019,16:55:00,0.0,,88.7,118.8,119.2,119.2,12.73,0.05,116.8,76,7.05,-7.9,12.381,3.06,1.3
3/28/2019,17:00:00,0.0,,88.6,119.0,118.7,118.7,12.70,0.06,117.0,76,7.04,-7.7,12.299,3.06,1.3
3/28/2019,17:05:00,0.0,,88.7,118.7,118.5,118.5,12.64,0.05,116.7,76,7.04,-7.8,12.432,3.06,1.3
3/28/2019,17:10:00,0.0,,89.2,118.3,119.7,119.7,12.67,0.05,116.4,76,7.05,-8.4,12.783,3.06,1.3
3/28/2019,17:15:00,0.0,,88.9,118.6,119.3,119.3,12.70,0.05,116.7,76,7.05,-8.0,12.561,3.06,1.3
3/28/2019,17:20:00,0.0,,89.4,118.8,119.8,119.8,12.70,0.05,116.8,76,7.05,-8.3,12.714,3.06,1.3
3/28/2019,17:25:00,0.0,,89.2,118.7,119.9,119.9,12.73,0.05,116.7,76,7.05,-8.3,12.643,3.06,1.3
3/28/2019,17:30:00,0.0,,88.8,118.7,119.3,119.3,12.72,0.05,116.7,76,7.05,-8.2,12.488,3.06,1.3
3/28/2019,17:35:00,0.0,,88.7,118.8,118.2,118.2,12.62,0.05,116.8,76,7.05,-7.9,12.400,3.06,1.3
3/28/2019,17:40:00,0.0,,88.9,118.3,119.7,119.7,12.71,0.05,116.4,76,7.06,-8.8,12.652,3.06,1.3
3/28/2019,17:45:00,0.0,,88.9,118.9,119.2,119.2,12.72,0.05,116.9,76,7.06,-8.5,12.451,3.06,1.3
