date.time,date,time,fract_sec,site_name,chl_RFU,chl_conc,cond,fdom_QSU,fdom_RFU,nLF_cond,perc_ODO,perc_local_ODO,ODO_conc,sal,sp_cond,BGA_PC_RFU,BGA_PC_conc,TDS,turb_FNU,TSS,temp,battery,cable_pwr
2020-01-09 13:20:00,1/9/2020,13:20:00,0,<site>,0.82,5.59,10.2,27.62,9.45,17.2,88.2,86,11.5,0.01,16.9,-0.41,-0.41,11,2.45,0,4.222,6.18,0
2020-01-09 13:25:00,1/9/2020,13:25:00,0,<site>,0.69,4.86,10.3,27.66,9.46,17.2,87.7,85.5,11.43,0.01,17,-0.45,-0.45,11,2.24,0,4.211,6.18,0
2020-01-09 13:30:00,1/9/2020,13:30:00,0,<site>,1.23,7.77,10.3,27.46,9.39,17.3,87.7,85.5,11.43,0.01,17.1,-0.4,-0.4,11,2.31,0,4.213,6.19,0
2020-01-09 13:35:00,1/9/2020,13:35:00,0,<site>,1.19,7.6,10.3,27.66,9.46,17.3,87.8,85.6,11.44,0.01,17.1,-0.41,-0.41,11,2.23,0,4.22,6.18,0
2020-01-09 13:40:00,1/9/2020,13:40:00,0,<site>,1.54,9.48,10.2,27.78,9.5,17.2,87.8,85.6,11.44,0.01,16.9,-0.36,-0.36,11,2.39,0,4.226,6.18,0
2020-01-09 13:45:00,1/9/2020,13:45:00,0,<site>,0.67,4.75,10.2,27.69,9.47,17.2,87.2,85.1,11.36,0.01,17,-0.48,-0.48,11,2.39,0,4.238,6.17,0
2020-01-09 13:50:00,1/9/2020,13:50:00,0,<site>,0.84,5.69,10.2,27.53,9.42,17.2,87.1,85,11.34,0.01,16.9,-0.44,-0.44,11,2.49,0,4.255,6.18,0
2020-01-09 13:55:00,1/9/2020,13:55:00,0,<site>,0.37,3.1,10.2,27.69,9.47,17.2,87,84.9,11.33,0.01,16.9,-0.51,-0.51,11,2.4,0,4.27,6.17,0
2020-01-09 14:00:00,1/9/2020,14:00:00,0,<site>,1.18,7.54,10.2,27.7,9.48,17.2,87,84.9,11.32,0.01,16.9,-0.39,-0.39,11,2.31,0,4.285,6.18,0
2020-01-09 14:05:00,1/9/2020,14:05:00,0,<site>,1.04,6.77,10.2,27.75,9.5,17.2,87.1,85,11.34,0.01,16.9,-0.41,-0.41,11,2.34,0,4.295,6.16,0
2020-01-09 14:10:00,1/9/2020,14:10:00,0,<site>,0.84,5.68,10.2,27.63,9.45,17.2,87.2,85.1,11.35,0.01,16.9,-0.44,-0.44,11,2.28,0,4.304,6.17,0
2020-01-09 14:15:00,1/9/2020,14:15:00,0,<site>,0.53,4,10.2,27.69,9.47,17.2,87.4,85.2,11.36,0.01,16.9,-0.48,-0.48,11,2.26,0,4.311,6.16,0
2020-01-09 14:20:00,1/9/2020,14:20:00,0,<site>,0.4,3.27,10.2,27.66,9.46,17.2,87.4,85.2,11.36,0.01,16.9,-0.53,-0.53,11,2.25,0,4.319,6.16,0
2020-01-09 14:25:00,1/9/2020,14:25:00,0,<site>,0.27,2.59,10.2,27.76,9.5,17.2,87.4,85.3,11.36,0.01,16.9,-0.52,-0.52,11,2.14,0,4.327,6.16,0
2020-01-09 14:30:00,1/9/2020,14:30:00,0,<site>,0.27,2.56,10.2,27.66,9.47,17.2,87.4,85.2,11.36,0.01,16.9,-0.52,-0.52,11,2.19,0,4.334,6.16,0
2020-01-09 14:35:00,1/9/2020,14:35:00,0,<site>,0.39,3.25,10.2,27.7,9.48,17.2,87.4,85.3,11.36,0.01,16.9,-0.48,-0.48,11,2.22,0,4.335,6.15,0
2020-01-09 14:40:00,1/9/2020,14:40:00,0,<site>,0.28,2.61,10.2,27.7,9.48,17.2,87.5,85.3,11.37,0.01,16.9,-0.48,-0.48,11,2.26,0,4.336,6.16,0
2020-01-09 14:45:00,1/9/2020,14:45:00,0,<site>,0.26,2.51,10.2,27.64,9.46,17.2,87.5,85.3,11.37,0.01,16.9,-0.52,-0.52,11,2.31,0,4.336,6.15,0
2020-01-09 14:50:00,1/9/2020,14:50:00,0,<site>,1.04,6.73,10.2,27.67,9.47,17.2,87.5,85.3,11.37,0.01,16.9,-0.41,-0.41,11,2.26,0,4.335,6.16,0
2020-01-09 14:55:00,1/9/2020,14:55:00,0,<site>,0.33,2.91,10.2,27.72,9.48,17.2,87.5,85.3,11.37,0.01,16.9,-0.5,-0.5,11,2.21,0,4.324,6.14,0
2020-01-09 15:00:00,1/9/2020,15:00:00,0,<site>,0.52,3.92,10.2,27.6,9.44,17.2,87.5,85.4,11.38,0.01,16.9,-0.45,-0.45,11,2.09,0,4.319,6.16,0
2020-01-09 15:05:00,1/9/2020,15:05:00,0,<site>,0.21,2.24,10.2,27.57,9.43,17.1,87.6,85.4,11.39,0.01,16.9,-0.53,-0.53,11,2.21,0,4.321,6.15,0
2020-01-09 15:10:00,1/9/2020,15:10:00,0,<site>,0.28,2.63,10.2,27.6,9.44,17.1,87.6,85.5,11.39,0.01,16.9,-0.5,-0.5,11,2.2,0,4.323,6.15,0
2020-01-09 15:15:00,1/9/2020,15:15:00,0,<site>,0.48,3.72,10.2,27.59,9.44,17.1,87.6,85.4,11.39,0.01,16.9,-0.51,-0.51,11,2.37,0,4.327,6.15,0
2020-01-09 15:20:00,1/9/2020,15:20:00,0,<site>,0.9,6.02,10.2,27.53,9.42,17.1,87.6,85.5,11.39,0.01,16.9,-0.48,-0.48,11,2.17,0,4.332,6.15,0
2020-01-09 15:25:00,1/9/2020,15:25:00,0,<site>,0.24,2.41,10.2,27.59,9.44,17.1,87.6,85.5,11.39,0.01,16.9,-0.55,-0.55,11,2.41,0,4.336,6.14,0
2020-01-09 15:30:00,1/9/2020,15:30:00,0,<site>,0.28,2.66,10.2,27.65,9.46,17.1,87.7,85.5,11.39,0.01,16.9,-0.52,-0.52,11,2.22,0,4.341,6.15,0
2020-01-09 15:35:00,1/9/2020,15:35:00,0,<site>,0.26,2.54,10.2,27.65,9.46,17.1,87.7,85.5,11.39,0.01,16.9,-0.53,-0.53,11,2.28,0,4.346,6.14,0
2020-01-09 15:40:00,1/9/2020,15:40:00,0,<site>,0.26,2.53,10.2,27.64,9.46,17.1,87.7,85.5,11.39,0.01,16.9,-0.5,-0.5,11,2.22,0,4.35,6.15,0
2020-01-09 15:45:00,1/9/2020,15:45:00,0,<site>,0.24,2.41,10.2,27.62,9.45,17.1,87.7,85.5,11.39,0.01,16.9,-0.5,-0.5,11,2.26,0,4.351,6.14,0
2020-01-09 15:50:00,1/9/2020,15:50:00,0,<site>,0.6,4.37,10.2,27.55,9.42,17.1,87.7,85.5,11.39,0.01,16.9,-0.46,-0.46,11,2.03,0,4.351,6.15,0
2020-01-09 15:55:00,1/9/2020,15:55:00,0,<site>,0.24,2.44,10.2,27.55,9.43,17.1,87.8,85.6,11.4,0.01,16.9,-0.56,-0.56,11,2.41,0,4.348,6.13,0
2020-01-09 16:00:00,1/9/2020,16:00:00,0,<site>,0.36,3.07,10.2,27.66,9.46,17.1,87.9,85.7,11.41,0.01,16.9,-0.51,-0.51,11,2.28,0,4.346,6.15,0
2020-01-09 16:05:00,1/9/2020,16:05:00,0,<site>,0.43,3.45,10.2,27.7,9.48,17.1,87.9,85.7,11.41,0.01,16.9,-0.52,-0.52,11,2.22,0,4.345,6.13,0
